"variable","n","beta","se","ci_low","ci_high","t_value","p_value","model_r2","fdr","significant","label","category"
"EPA",413,-0.037768404906559,0.0330947436861221,-0.102634102531358,0.0270972927182404,-1.14122065016617,0.254445859012668,0.0125639181147758,0.866672201977088,FALSE,"EPA (n-3 PUFA)","Nutrition"
"HCys",426,0.0301266336534775,0.0327032293259668,-0.0339716958254174,0.0942249631323723,0.921212806025752,0.357465662693671,0.0107847992213481,0.866672201977088,FALSE,"Homocysteine","Nutrition"
"DHA",425,-0.0233494395331815,0.0330204834659438,-0.0880695871264313,0.0413707080600683,-0.707119856596386,0.479883209731805,0.00908945606079451,0.866672201977088,FALSE,"DHA (n-3 PUFA)","Nutrition"
"NPIK",375,0.023173792496467,0.0339458061800974,-0.0433599876165239,0.0897075726094579,0.682670264878079,0.495241258272622,0.0161834938220393,0.866672201977088,FALSE,"NPI Sleep Domain","Neuropsychiatric"
"MH14ALCH",495,0.0136723805431463,0.030475771801038,-0.0460601321868881,0.0734048932731807,0.448631149767324,0.653895680336177,0.0112205843794754,0.915453952470648,FALSE,"Alcohol Abuse History","Substance Use"
"NPIKTOT",375,0.00716164960389069,0.0339913090941587,-0.0594613162206604,0.0737846154284418,0.210690608709783,0.833244373986149,0.0150655024760563,0.940776415237899,FALSE,"NPI Total Score","Neuropsychiatric"
"MH16SMOK",495,-0.00227901111035621,0.0306598544054743,-0.0623723257450859,0.0578143035243735,-0.0743320917384816,0.940776415237899,0.0108263968003651,0.940776415237899,FALSE,"Smoking Status","Substance Use"
