"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X21478.20",354,-0.41195674153466,0.41195674153466,1.42747833266309,TRUE,0.75,4402,"SMAD5","SMAD5","SMAD5","Q99717"
"X23661.61",362,-0.412326001189242,0.412326001189242,1.48049394398693,TRUE,0.75,4403,"XPNPEP3","Probable Xaa-Pro aminopeptidase 3","XPP3","Q9NQH7"
"X11215.6",350,-0.413637875093206,0.413637875093206,1.4889313881285,TRUE,0.75,4404,"CDH15","Cadherin-15:Cytoplasmic domain","CAD15:CD","P55291"
"X17205.21",368,-0.414164886331456,0.414164886331456,1.35042523952555,TRUE,0.75,4405,"RAB5A","Ras-related protein Rab-5A","RAB5A","P20339"
"X7849.3",365,-0.41464774383847,0.41464774383847,1.45629990330137,TRUE,0.75,4406,"QPCT","Glutaminyl-peptide cyclotransferase","Glutaminyl cyclase","Q16769"
"X20091.138",368,-0.41476231802534,0.41476231802534,1.4243575585188,TRUE,0.75,4407,"EFNA1","Ephrin-A1","Ephrin-A1","P20827"
"X9829.91",362,-0.415513473775708,0.415513473775708,1.39444098360138,TRUE,0.75,4408,"SULT2A1","Bile salt sulfotransferase","SULT 2A1","Q06520"
"X11465.4",366,-0.415513952991997,0.415513952991997,1.33579755854289,TRUE,0.75,4409,"GPR135","Probable G-protein coupled receptor 135","GP135","Q8IZ08"
"X13610.9",359,-0.415835910082593,0.415835910082593,1.43599030403164,TRUE,0.75,4410,"MAGEA10","Melanoma-associated antigen 10","MAGE-10","P43363"
"X4564.2",365,-0.416411681588595,0.416411681588595,1.45539454215847,TRUE,0.75,4411,"PLXNC1","Plexin-C1","PLXC1","O60486"
"X17696.1",363,-0.417135624305345,0.417135624305345,1.58654266599099,TRUE,0.75,4412,"TICAM2","TIR domain-containing adapter molecule 2","TIRP","Q86XR7"
"X24953.27",353,-0.417902487027945,0.417902487027945,1.49175130079448,TRUE,0.75,4413,"KIF3B","Kinesin-like protein KIF3B","KIF3B","O15066"
"X10078.5",366,-0.418578224318178,0.418578224318178,1.49539824444102,TRUE,0.75,4414,"BAG3","BAG family molecular chaperone regulator 3","BAG3","O95817"
"X7752.31",366,-0.418849235051606,0.418849235051606,1.39798499442197,TRUE,0.75,4415,"CLEC4D","C-type lectin domain family 4 member D","CLC4D","Q8WXI8"
"X8052.115",368,-0.41956729667095,0.41956729667095,1.44202619078863,TRUE,0.75,4416,"NLGN1","Neuroligin-1","NLGN1","Q8N2Q7"
"X7980.72",363,-0.419820379465409,0.419820379465409,1.4036214702885,TRUE,0.75,4417,"B3GNT2","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2","B3GN2","Q9NY97"
"X8299.66",362,-0.419836137443786,0.419836137443786,1.45091608762185,TRUE,0.75,4418,"LILRA4","Leukocyte immunoglobulin-like receptor subfamily A member 4","LIRA4","P59901"
"X25247.12",366,-0.41991041589334,0.41991041589334,1.4174147192657,TRUE,0.75,4419,"ARMC8","Armadillo repeat-containing protein 8","ARMC8","Q8IUR7"
"X18947.3",368,-0.420137999256401,0.420137999256401,1.46278951742092,TRUE,0.75,4420,"LRRC3B","Leucine-rich repeat-containing protein 3B","LRC3B","Q96PB8"
"X3823.9",367,-0.420254631357727,0.420254631357727,1.4462991283318,TRUE,0.75,4421,"MATK","Megakaryocyte-associated tyrosine-protein kinase","MATK","P42679"
"X4318.12",368,-0.420294280259759,0.420294280259759,1.54907196324912,TRUE,0.75,4422,"PTPN6","Tyrosine-protein phosphatase non-receptor type 6","PTP-1C","P29350"
"X5110.84",368,-0.420376394007286,0.420376394007286,1.47060634186317,TRUE,0.75,4423,"NRXN1","Neurexin-1-beta","NRX1B","P58400"
"X7951.146",363,-0.420735848550088,0.420735848550088,1.54008321977294,TRUE,0.75,4424,"FCRL2","Fc receptor-like protein 2","FCRL2","Q96LA5"
"X15435.4",329,-0.420880845646868,0.420880845646868,1.42982927515366,TRUE,0.75,4425,"PNP","Purine nucleoside phosphorylase","PNP","P00491"
"X2585.2",366,-0.421174521626652,0.421174521626652,1.50597093078628,TRUE,0.75,4426,"PRL","Prolactin","PRL","P01236"
"X2696.87",366,-0.421244668100786,0.421244668100786,1.50317579685683,TRUE,0.75,4427,"PSPN","Persephin","Persephin","O60542"
"X2612.5",365,-0.421282158477133,0.421282158477133,1.2568538911172,TRUE,0.75,4428,"EIF5","Eukaryotic translation initiation factor 5","eIF-5","P55010"
"X8813.160",366,-0.421407647782701,0.421407647782701,1.3555878851124,TRUE,0.75,4429,"TXN","Thioredoxin","Thioredoxin","P10599"
"X3045.72",368,-0.42149757174478,0.42149757174478,1.39136412122865,TRUE,0.75,4430,"PTN","Pleiotrophin","PTN","P21246"
"X8037.53",366,-0.422261385714504,0.422261385714504,1.44858266409642,TRUE,0.75,4431,"DNAJB14","DnaJ homolog subfamily B member 14:Lumenal domain","DJB14:LD","Q8TBM8"
"X12622.96",365,-0.422953969677709,0.422953969677709,1.60146649564355,TRUE,0.75,4432,"ASH1L","Histone-lysine N-methyltransferase ASH1L","ASH1L","Q9NR48"
"X10752.8",365,-0.423215960355771,0.423215960355771,1.41497452057718,TRUE,0.75,4433,"CDYL2","Chromodomain Y-like protein 2","CDYL2","Q8N8U2"
"X16908.5",365,-0.424432631464645,0.424432631464645,1.48916738232638,TRUE,0.75,4434,"OMG","Oligodendrocyte-myelin glycoprotein","OMGP","P23515"
"X25076.2",367,-0.424579486537063,0.424579486537063,1.51193743241125,TRUE,0.75,4435,"SELENBP1","Selenium-binding protein 1","Selenium-binding protein 1","Q13228"
"X6421.52",368,-0.425130081661038,0.425130081661038,1.31923755445026,TRUE,0.75,4436,"IFNA16","Interferon alpha-16","IFN16","P05015"
"X21326.28",366,-0.425497652024815,0.425497652024815,1.44714874302852,TRUE,0.75,4437,"TBCC","Tubulin-specific chaperone C","TBCC","Q15814"
"X8045.3",367,-0.426910628082657,0.426910628082657,1.35278619823301,TRUE,0.75,4438,"KIR3DL3","Killer cell immunoglobulin-like receptor 3DL3:Cytoplasmic domain","KI3L3:CD","Q8N743"
"X2715.25",365,-0.428365606191947,0.428365606191947,1.50274021806029,TRUE,0.75,4439,"EPOR","Erythropoietin receptor","EPO-R","P19235"
"X5604.30",366,-0.428615592445698,0.428615592445698,1.41481223660275,TRUE,0.75,4440,"HPSE","Heparanase","HPSE","Q9Y251"
"X15636.49",368,-0.428637855737945,0.428637855737945,1.46769182547075,TRUE,0.75,4441,"SORCS1","VPS10 domain-containing receptor SorCS1","SORC1","Q8WY21"
"X8935.22",367,-0.428750840462164,0.428750840462164,1.58346451406216,TRUE,0.75,4442,"ABCC6","Multidrug resistance-associated protein 6","MRP6","O95255"
"X25042.3",367,-0.429223804154977,0.429223804154977,1.60062528642239,TRUE,0.75,4443,"ME2","NAD-dependent malic enzyme, mitochondrial","MAOM","P23368"
"X6461.54",366,-0.429984671164349,0.429984671164349,1.4179239389689,TRUE,0.75,4444,"APOC3","Apolipoprotein C-III","Apo C-III","P02656"
"X22405.61",364,-0.430230372204794,0.430230372204794,1.49543749803876,TRUE,0.75,4445,"PCK2","Phosphoenolpyruvate carboxykinase [GTP], mitochondrial","PCKGM","Q16822"
"X22099.1",364,-0.430284190172098,0.430284190172098,1.40864416451722,TRUE,0.75,4446,"C4orf36","Uncharacterized protein C4orf36","CD036","Q96KX1"
"X25072.11",366,-0.431217135517476,0.431217135517476,1.71480481258252,TRUE,0.75,4447,"CHD1L","Chromodomain-helicase-DNA-binding protein 1-like","CHD1L","Q86WJ1"
"X22511.28",367,-0.431655038677353,0.431655038677353,1.28632542937333,TRUE,0.75,4448,"NFYA","Nuclear transcription factor Y subunit alpha","NFYA","P23511"
"X11551.16",367,-0.431686356863447,0.431686356863447,1.53591435587458,TRUE,0.75,4449,"HMG20B","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related","HM20B","Q9P0W2"
"X5825.49",367,-0.431733212754271,0.431733212754271,1.46444370966463,TRUE,0.75,4450,"IFNGR1","Interferon gamma receptor 1","IFN-g R1","P15260"
"X4866.59",368,-0.431926740089039,0.431926740089039,1.47375497799157,TRUE,0.75,4451,"NTRK2","BDNF/NT-3 growth factors receptor","TrkB","Q16620"
"X11459.81",364,-0.432622544616308,0.432622544616308,1.43384989941674,TRUE,0.75,4452,"ELL","RNA polymerase II elongation factor ELL","ELL","P55199"
"X24247.13",363,-0.433314779920013,0.433314779920013,1.25736489332058,TRUE,0.75,4453,"C15orf40","UPF0235 protein C15orf40","CO040","Q8WUR7"
"X17196.5",364,-0.433943968171776,0.433943968171776,1.35179635611577,TRUE,0.75,4454,"CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial","ClpP endopeptidase","Q16740"
"X2620.4",367,-0.434082493568846,0.434082493568846,1.43790714584377,TRUE,0.75,4455,"IL6ST","Interleukin-6 receptor subunit beta","gp130, soluble","P40189"
"X24418.14",364,-0.434348958854968,0.434348958854968,1.60869490499835,TRUE,0.75,4456,"HMX3","Homeobox protein HMX3","HMX3","A6NHT5"
"X5089.11",365,-0.434481601265534,0.434481601265534,1.41479395744432,TRUE,0.75,4457,"IL7R","Interleukin-7 receptor subunit alpha","IL-7 Ra","P16871"
"X21711.86",368,-0.434928346725178,0.434928346725178,1.46831128975623,TRUE,0.75,4458,"ADGRB1","Brain-specific angiogenesis inhibitor 1","BAI1","O14514"
"X5758.49",368,-0.434951463791931,0.434951463791931,1.40335738231,TRUE,0.75,4459,"KLK9","Kallikrein-9","kallikrein 9","Q9UKQ9"
"X20128.1",363,-0.435024102502152,0.435024102502152,1.57410503899503,TRUE,0.75,4460,"CREB1","cAMP response element-binding protein","CREB1","P16220"
"X22050.19",364,-0.435030593481187,0.435030593481187,1.40537910390658,TRUE,0.75,4461,"KXD1","KxDL motif-containing protein 1","KXDL1","Q9BQD3"
"X14337.1",346,-0.435037252791841,0.435037252791841,1.44166232589027,TRUE,0.75,4462,"TRAPPC3","Trafficking protein particle complex subunit 3","TPPC3","O43617"
"X24944.12",366,-0.435514141763869,0.435514141763869,1.430112335805,TRUE,0.75,4463,"REPS2","RalBP1-associated Eps domain-containing protein 2","REPS2","Q8NFH8"
"X3835.11",364,-0.43555837119475,0.43555837119475,1.61434566275505,TRUE,0.75,4464,"TLR2","Toll-like receptor 2","TLR2","O60603"
"X2732.58",363,-0.435922923831429,0.435922923831429,1.39155176071242,TRUE,0.75,4465,"NANOG","Homeobox protein NANOG","NANOG","Q9H9S0"
"X22505.24",363,-0.436014254625302,0.436014254625302,1.45539376694002,TRUE,0.75,4466,"NADK2","NAD kinase 2, mitochondrial","NAKD2","Q4G0N4"
"X18308.30",368,-0.436655865859367,0.436655865859367,1.49365011113381,TRUE,0.75,4467,"STXBP6","Syntaxin-binding protein 6","STXB6","Q8NFX7"
"X18196.8",367,-0.436846225437232,0.436846225437232,1.41625468089129,TRUE,0.75,4468,"AFM","Afamin","Afamin","P43652"
"X17331.138",368,-0.437416321034412,0.437416321034412,1.38333141193418,TRUE,0.75,4469,"KREMEN1","Kremen protein 1","KREM1","Q96MU8"
"X9504.19",367,-0.437618012176945,0.437618012176945,1.48593380597787,TRUE,0.75,4470,"RAB27A","Ras-related protein Rab-27A","RB27A","P51159"
"X5730.60",367,-0.437951450742138,0.437951450742138,1.53819275838651,TRUE,0.75,4471,"CXCL14","C-X-C motif chemokine 14","BRAK","O95715"
"X12818.159",366,-0.437989980253009,0.437989980253009,1.39860601129948,TRUE,0.75,4472,"SLC14A2","Urea transporter 2","UT2","Q15849"
"X13549.15",368,-0.438537980377463,0.438537980377463,1.45351753810922,TRUE,0.75,4473,"ADAM29","Disintegrin and metalloproteinase domain-containing protein 29","ADA29","Q9UKF5"
"X6019.12",366,-0.438638901198881,0.438638901198881,1.32089384126187,TRUE,0.75,4474,"C1QTNF9","Complement C1q and tumor necrosis factor-related protein 9A","C1T9A","P0C862"
"X24290.5",368,-0.438984910334677,0.438984910334677,1.43262111381201,TRUE,0.75,4475,"C20orf202","Uncharacterized protein C20orf202","CT202","A1L168"
