"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group","Comparison","Source"
"R-HSA-2682334","EPH-Ephrin signaling","24/769","59/4194",0.406779661016949,2.21850962068282,4.46593630350926,4.72742383676675e-05,0.00498451569743116,0.00451373591634717,"EFNA2/EFNB1/NCK2/AP2A2/ITSN1/EFNB2/EFNA3/EPHB4/EPHA7/EPHB1/EPHA6/DNM1/AP2B1/EFNB3/EFNA4/EFNA5/EPHA3/EPHA5/EPHA2/EPHA10/EPHB6/EPHA4/EPHB2/EPHB3",24,"CN","CN_vs_nonCN","Reactome"
"R-HSA-937041","IKK complex recruitment mediated by RIP1","10/769","15/4194",0.666666666666667,3.63589076723017,4.84542823902079,5.00727604308153e-05,0.00498451569743116,0.00451373591634717,"BIRC2/UBE2V1/UBE2D2/UBE2D3/IKBKG/IKBKB/UBE2N/RPS27A/UBC/UBB",10,"CN","CN_vs_nonCN","Reactome"
"R-HSA-114452","Activation of BH3-only proteins","11/769","18/4194",0.611111111111111,3.33289986996099,4.69945418099956,6.66108947278411e-05,0.0060782441439155,0.00550416340645845,"DYNLL2/YWHAB/YWHAE/PPP3R1/AKT1/YWHAH/AKT3/MAPK8/YWHAG/YWHAZ/YWHAQ",11,"CN","CN_vs_nonCN","Reactome"
"R-HSA-111447","Activation of BAD and translocation to mitochondria","9/769","13/4194",0.692307692307692,3.77573271981594,4.74902603407792,7.91067968105216e-05,0.0066632263467324,0.00603389494700497,"YWHAB/YWHAE/PPP3R1/AKT1/YWHAH/AKT3/YWHAG/YWHAZ/YWHAQ",9,"CN","CN_vs_nonCN","Reactome"
"R-HSA-6807004","Negative regulation of MET activity","10/769","16/4194",0.625,3.40864759427828,4.5734543691765,0.000111674847668607,0.00873456844265174,0.00790960199276899,"MET/CBL/SH3GL2/HGS/SH3GL3/RPS27A/GRB2/UBC/UBB/PTPRJ",10,"CN","CN_vs_nonCN","Reactome"
"R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","8/769","11/4194",0.727272727272727,3.96642629152382,4.66746731217713,0.000120731547540193,0.00881340297043412,0.00798099072160437,"YWHAB/YWHAE/AKT1/YWHAH/AKT3/YWHAG/YWHAZ/YWHAQ",8,"CN","CN_vs_nonCN","Reactome"
"GO:0048812","neuron projection morphogenesis","226/3002","319/5702",0.70846394984326,1.34565670952907,6.69926450693744,7.14315926407053e-12,1.79896575123035e-08,1.7153264015171e-08,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/OPHN1/DPYSL5/PRKN/PRKG1/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/RAB3A/EPHB1/GAS7/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/FZD4/EPHA6/DAG1/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/SRGAP2/EFNB3/NUMB/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/MAP2K1/NBL1/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/POSTN/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FYN/PRKCQ/PAK6/PTEN/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/DBNL/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CPNE1/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/UBB/NTN1/CCK/CNTNAP2/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/SEMA6C/APLP1/PGRMC1/ST8SIA2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",226,"non-CN","CN_vs_nonCN","GO_BP"
"GO:0007409","axonogenesis","178/3002","242/5702",0.735537190082645,1.39707963286184,6.65561138048637,8.16412866453529e-12,1.79896575123035e-08,1.7153264015171e-08,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/SMAD4/IST1/OPHN1/DPYSL5/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/SEMA4A/SLITRK6/PLXNB3/DCLK1/STMN1/NLGN3/RAB3A/EPHB1/DSCAML1/SLIT2/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/SEMA5B/SEMA6D/SEMA4G/CNTN6/MAG/NECTIN1/SLITRK2/DCC/ADGRB1/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/NDEL1/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/NUMB/VEGFA/EFNA5/ERBB2/NTRK3/MAP2K1/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FYN/PRKCQ/PTEN/TGFB2/L1CAM/BOC/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/NTN1/CCK/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/SEMA6C/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOTCH2/NEO1/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/NEFH/SEMA4F/PITPNA",178,"non-CN","CN_vs_nonCN","GO_BP"
"GO:0048667","cell morphogenesis involved in neuron differentiation","205/3002","288/5702",0.711805555555556,1.35200375675476,6.46373285832958,3.60147807866436e-11,5.29057129755795e-08,5.04459666316776e-08,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/SMAD4/IST1/OPHN1/DPYSL5/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/ID2/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/SEMA4A/SLITRK6/PLXNB3/DCLK1/STMN1/NLGN3/RAB3A/EPHB1/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/CNTN6/MAG/NECTIN1/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/FZD4/EPHA6/DAG1/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/NUMB/NEUROG3/VEGFA/EFNA5/ERBB2/NTRK3/SOD1/MAP2K1/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FYN/PRKCQ/PTEN/TGFB2/CFL1/L1CAM/BOC/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/RB1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/NTN1/CCK/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/SEMA6C/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/CDHR1/NOTCH2/TMEM106B/NEO1/MEF2C/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",205,"non-CN","CN_vs_nonCN","GO_BP"
"GO:0120039","plasma membrane bounded cell projection morphogenesis","227/3002","325/5702",0.698461538461538,1.32665812535233,6.39387453516146,6.1976636019249e-11,6.47515670734284e-08,6.17410712042149e-08,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/OPHN1/DPYSL5/PRKN/PRKG1/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/ENPP2/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/RAB3A/EPHB1/GAS7/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/FZD4/EPHA6/DAG1/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/SRGAP2/EFNB3/NUMB/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/MAP2K1/NBL1/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/POSTN/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FYN/PRKCQ/PAK6/PTEN/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/DBNL/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CPNE1/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/UBB/NTN1/CCK/CNTNAP2/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/SEMA6C/APLP1/PGRMC1/ST8SIA2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",227,"non-CN","CN_vs_nonCN","GO_BP"
