"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X12551.3",118,1,0.108569673880773,TRUE,1,"ITCH","E3 ubiquitin-protein ligase Itchy homolog","ITCH","Q96J02"
"X14066.49",125,1,0.154806652554649,TRUE,2,"MAGI2","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2","MAGI2","Q86UL8"
"X4707.50",125,1,0.0770716290482967,TRUE,3,"YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
"X8660.33",124,1,0.15216928865912,TRUE,4,"OLFML3","Olfactomedin-like protein 3","OLFL3","Q9NRN5"
"X17332.3",125,0.99999385492712,0.141544155646277,TRUE,5,"ADPRS","Poly(ADP-ribose) glycohydrolase ARH3","ARHL2","Q9NX46"
"X7745.3",125,0.99999385492712,0.145257627356833,TRUE,6,"CISD1","CDGSH iron-sulfur domain-containing protein 1","ZCD1","Q9NZ45"
"X12968.2",124,0.99999370503031,0.1115050032079,TRUE,7,"CSRP2","Cysteine and glycine-rich protein 2","CSRP2","Q16527"
"X12612.37",125,0.999987709854239,0.176353616892542,TRUE,8,"PSMB1","Proteasome subunit beta type-1","PSB1","P20618"
"X19121.3",125,0.999987709854239,0.019754301729446,TRUE,9,"UBQLN2","Ubiquilin-2","UBQL2","Q9UHD9"
"X3896.5",121,0.999986450048102,0.101619149081764,TRUE,10,"PGAM1","Phosphoglycerate mutase 1","Phosphoglycerate mutase 1","P18669"
"X18907.97",125,0.999981564781358,0.119389909487265,TRUE,11,"KIR3DL1","Killer cell immunoglobulin-like receptor 3DL1","KI3L1","P43629"
"X16919.1",125,0.999975419708478,0.101722371175992,TRUE,12,"DBI","Acyl-CoA-binding protein","ACBP","P07108"
"X17325.10",125,0.999975419708478,0.113003617502888,TRUE,13,"GUK1","Guanylate kinase","KGUA","Q16774"
"X19392.6",125,0.999975419708478,0.0568383653090414,TRUE,14,"DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","DDAH1","O94760"
"X21118.48",125,0.999950839416956,0.0880481507820123,TRUE,15,"GCHFR","GTP cyclohydrolase I feedback regulatory protein","GFRP","P30047"
"X22049.24",125,0.999950839416956,0.0658323357300124,TRUE,16,"YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
"X7832.181",125,0.999950839416956,0.0752625118634635,TRUE,17,"PDIA3","Protein disulfide-isomerase A3","Protein disulfide isomerase A3","P30101"
"X6520.87",125,0.999926259125433,0.156228564392965,TRUE,18,"MGP","Matrix Gla protein","MGP","P08493"
"X9038.12",125,0.999926259125433,0.0896896398673134,TRUE,19,"JTB","Protein JTB","JTB","O76095"
"X21661.82",125,0.999920114052553,0.131110996545642,TRUE,20,"FAM20C","Dentin matrix protein 4","DMP4","Q8IXL6"
"X3855.56",120,0.999916652196562,0.119513479963496,TRUE,21,"PRDX1","Peroxiredoxin-1","Peroxiredoxin-1","Q06830"
"X10620.21",123,0.999916152834034,0.10157440791324,TRUE,22,"MSMB","Beta-microseminoprotein","PSP-94","P08118"
"X17450.51",125,0.999901678833911,0.050807584443897,TRUE,23,"HARS1","Histidine--tRNA ligase, cytoplasmic","Histidyl-tRNA synthetase","P12081"
"X19158.1",125,0.999901678833911,0.06986208257372,TRUE,24,"PCLAF","PCNA-associated factor","PAF","Q15004"
"X21232.39",120,0.999881922304876,0.0938104744486752,TRUE,25,"KLK3","Benign Prostate specific Antigen","BPSA","P07288"
"X15339.32",125,0.999877098542389,0.286683904558437,TRUE,26,"CFL2","Cofilin-2","COF2","Q9Y281"
"X8957.72",125,0.999877098542389,0.10295862157193,TRUE,27,"ERLEC1","Endoplasmic reticulum lectin 1","XTP3B","Q96DZ1"
"X23265.15",125,0.999852518250867,0.0378815947665786,TRUE,28,"TPD52L2","Tumor protein D54","TPD54","O43399"
"X9816.37",125,0.999852518250867,0.309998892785212,TRUE,29,"ISOC1","Isochorismatase domain-containing protein 1","ISOC1","Q96CN7"
"X18236.3",124,0.999848920727447,0.133431999172789,TRUE,30,"LGALSL","Galectin-related protein","LEGL","Q3ZCW2"
"X9453.12",125,0.999846373177986,0.0763869218502934,TRUE,31,"VEGFB","Vascular endothelial growth factor B","VEGF-B","P49765"
"X10001.7",123,0.999845205731258,0.0473800675404449,TRUE,32,"RAF1","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049"
"X3362.61",125,0.999821792886464,0.134135012478149,TRUE,33,"CHRDL1","Chordin-like protein 1","CRDL1","Q9BU40"
"X24293.39",124,0.999817445878998,0.153094802134406,TRUE,34,"SCP2","Nonspecific lipid-transfer protein:isoform 6","NLTP:isoform 6","P22307"
"X9207.60",124,0.999817445878998,0.218530570803074,TRUE,35,"CRYZL1","Quinone oxidoreductase-like protein 1","QORL1","O95825"
"X3554.24",125,0.999815647813583,0.173541948129699,TRUE,36,"ADIPOQ","Adiponectin","Adiponectin","Q15848"
"X4891.50",120,0.999798573343613,0.171118163226617,TRUE,37,"GCG","Glucagon","Glucagon","P01275"
"X4250.23",125,0.999791067522061,0.0758412567114653,TRUE,38,"NSFL1C","NSFL1 cofactor p47","NSF1C","Q9UNZ2"
"X21955.36",124,0.9997859717042,0.188512640986969,TRUE,39,"BAG6","Large proline-rich protein BAT3","BAT3","P46379"
"X17706.4",123,0.999754909074491,0.0799604636154471,TRUE,40,"PPP1R1A","Protein phosphatase 1 regulatory subunit 1A","PPR1A","Q13522"
"X25451.39",124,0.999735612105188,0.0414147046644171,TRUE,41,"YAP1","Transcriptional coactivator YAP1","YAP1","P46937"
"X5029.3",122,0.999722392972576,0.058830185575879,TRUE,42,"FAP","Prolyl endopeptidase FAP","SEPR","Q12884"
"X12387.7",124,0.999716726363963,0.10187505448931,TRUE,43,"PDLIM4","PDZ and LIM domain protein 4","PDLI4","P50479"
"X17686.27",125,0.999705036501733,0.135728172245695,TRUE,44,"TBCB","Tubulin-folding cofactor B","TBCB","Q99426"
"X9971.5",125,0.999705036501733,0.274718768288101,TRUE,45,"CSMD2","CUB and sushi domain-containing protein 2","CSMD2","Q7Z408"
"X15367.38",125,0.999698891428852,0.168354948467715,TRUE,46,"BPIFB1","BPI fold-containing family B member 1","LPLC1","Q8TDL5"
"X25286.33",122,0.999669515443543,0.110867322240023,TRUE,47,"RABGAP1L","Rab GTPase-activating protein 1-like","RBG1L","Q5R372"
"X25280.2",125,0.99966816606445,0.136931031861754,TRUE,48,"LIMD1","LIM domain-containing protein 1","LIMD1","Q9UGP4"
"X9121.28",125,0.99966816606445,0.0902728005334886,TRUE,49,"FUT2","Galactoside 2-alpha-L-fucosyltransferase 2","FUT2","Q10981"
"X16803.4",122,0.99964968521242,0.090593063235892,TRUE,50,"CALB2","Calretinin","CALB2","P22676"
"X12546.1",125,0.999612860408524,0.103383965432807,TRUE,51,"SMTN","Smoothelin","SMTN","P53814"
"X3642.4",125,0.999575989971241,0.0518574059461836,TRUE,52,"CD84","SLAM family member 5","SLAF5","Q9UIB8"
"X6440.31",125,0.999575989971241,0.0549160146190845,TRUE,53,"MFAP5","Microfibrillar-associated protein 5","MFAP5","Q13361"
"X8485.7",125,0.999575989971241,0.122432083259861,TRUE,54,"KEAP1","Kelch-like ECH-associated protein 1","KEAP1","Q14145"
"X8922.4",125,0.99956984489836,0.170657021600317,TRUE,55,"TMCC3","Transmembrane and coiled-coil domains protein 3:region 1","TMCC3:region 1","Q9ULS5"
"X16885.49",125,0.99956369982548,0.0860864826392237,TRUE,56,"MAPRE3","Microtubule-associated protein RP/EB family member 3","MARE3","Q9UPY8"
"X13491.40",125,0.999539119533958,0.0636841403923365,TRUE,57,"PDE6D","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta","PDE6D","O43924"
"X9934.29",125,0.999526829388197,0.170050080811944,TRUE,58,"PITPNA","Phosphatidylinositol transfer protein alpha isoform","PIPNA","Q00169"
"X3214.3",125,0.999489958950913,0.243992510250048,TRUE,59,"NRP1","Neuropilin-1","NRP1","O14786"
"X21563.3",125,0.99945308851363,0.0703713139568247,TRUE,60,"PLA2G12A","sPLA(2)-XII","sPLA(2)-XII","Q9BZM1"
"X15321.8",125,0.999440798367869,0.0846073761731137,TRUE,61,"CPLX2","Complexin-2","CPLX2","Q6PUV4"
"X16558.2",124,0.999439749460995,0.178426154676761,TRUE,62,"MYOC","Myocilin","MYOC","Q99972"
"X17799.9",124,0.999439749460995,0.0830842101938294,TRUE,63,"PGLS","6-phosphogluconolactonase","6PGL","O95336"
"X4124.24",124,0.999439749460995,0.0710018257459683,TRUE,64,"HSPA1A","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8"
"X4496.60",109,0.999406833463861,0.11661160176023,TRUE,65,"MMP12","Macrophage metalloelastase","MMP-12","P39900"
"X21487.20",123,0.999367923402636,0.15544639622972,TRUE,66,"BLOC1S6","Biogenesis of lysosome-related organelles complex 1 subunit 6","BL1S6","Q9UL45"
"X12577.100",125,0.999330187056019,0.0999261467179684,TRUE,67,"FEN1","Flap endonuclease 1","FLAP endonuclease-1","P39748"
"X8840.61",124,0.99931384830382,0.055283134573786,TRUE,68,"C1S","Complement C1s subcomponent","C1s","P09871"
"X16859.100",123,0.999296973762287,0.13541986398144,TRUE,69,"SH3GLB1","Endophilin-B1","SHLB1","Q9Y371"
"X3392.68",125,0.999293316618735,0.0636518333090337,TRUE,70,"AKT3","Protein kinase B gamma","PKB gamma","Q9Y243"
"X20107.11",125,0.999274881400094,0.0585193136661991,TRUE,71,"MYL4","Myosin light polypeptide 4","MYL4","P12829"
"X9053.16",123,0.999219576378318,0.0603808617945964,TRUE,72,"CRIP2","Cysteine-rich protein 2","CRIP2","P52943"
"X14208.3",125,0.999090529213677,0.140504337926321,TRUE,73,"RBP7","Retinoid-binding protein 7","RET7","Q96R05"
"X19297.4",125,0.999047513703513,0.117897381546891,TRUE,74,"G6PD","Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413"
"X22958.6",125,0.999047513703513,0.0538304643908793,TRUE,75,"DSTN","Destrin","DEST","P60981"
"X23569.53",125,0.999047513703513,0.0463423610638946,TRUE,76,"STARD10","START domain-containing protein 10","STA10","Q9Y365"
"X4829.43",108,0.999018598978581,0.190231128364064,TRUE,77,"SFN","14-3-3 protein sigma","STRATIFIN","P31947"
"X10981.56",125,0.999004498193349,0.097494660792047,TRUE,78,"NRG3","Pro-neuregulin-3, membrane-bound isoform","NRG3","P56975"
"X19290.5",125,0.998998353120468,0.129536975319488,TRUE,79,"HPRT1","Hypoxanthine-guanine phosphoribosyltransferase","HPRT","P00492"
"X11636.33",125,0.998979917901826,0.280200243048205,TRUE,80,"TAGLN2","Transgelin-2","Transgelin-2","P37802"
"X13732.79",120,0.998972022337677,0.193500395390158,TRUE,81,"CTF1","Cardiotrophin-1","Cardiotrophin-1","Q16619"
"X5885.55",125,0.998961482683185,0.0867485954853458,TRUE,82,"EIF4H","Eukaryotic translation initiation factor 4H","eIF-4H","Q15056"
"X24434.16",121,0.998916007520198,0.168512521663301,TRUE,83,"PHYHIP","Phytanoyl-CoA hydroxylase-interacting protein","PHYIP","Q92561"
"X4179.57",125,0.998900031954379,0.135882371802281,TRUE,84,"YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X8901.40",125,0.998900031954379,0.0971349421159279,TRUE,85,"YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X11490.42",125,0.998893886881499,0.0751308443355726,TRUE,86,"UBL4A","Ubiquitin-like protein 4A","UBL4A","P11441"
"X13422.66",121,0.998868582849206,0.229997281227982,TRUE,87,"ENOX2","Ecto-NOX disulfide-thiol exchanger 2","ENOX2","Q16206"
"X11263.57",121,0.998848265793155,0.2701522231311,TRUE,88,"CASQ1","Calsequestrin-1","CASQ1","P31415"
"X4542.24",121,0.998848265793155,0.199302311956614,TRUE,89,"CLU","Clusterin","Clusterin","P10909"
"X12813.18",123,0.998826139676479,0.178721196307551,TRUE,90,"EHBP1","EH domain-binding protein 1","EHBP1","Q8NDI1"
"X12764.3",121,0.998814379208954,0.156847862494115,TRUE,91,"ELMO1","Engulfment and cell motility protein 1","ELMO1","Q92556"
"X22586.24",124,0.998785074673843,0.12700188545785,TRUE,92,"BTN2A2","Butyrophilin subfamily 2 member A2","BT2A2","Q8WVV5"
"X11514.196",125,0.998777130496768,0.0914614407283886,TRUE,93,"CD59","CD59 glycoprotein","CD59","P13987"
"X17746.77",125,0.998777130496768,0.175902532016099,TRUE,94,"FIS1","Mitochondrial fission 1 protein","FIS1","Q9Y3D6"
"X5091.28",125,0.998770985423887,0.138476611787773,TRUE,95,"LILRB2","Leukocyte immunoglobulin-like receptor subfamily B member 2","ILT-4","Q8N423"
"X21271.53",119,0.998760705827888,0.311682978856223,TRUE,96,"AKR1C2","Aldo-keto reductase family 1 member C2","AK1C2","P52895"
"X15653.9",122,0.998711110229819,0.161528284317963,TRUE,97,"COL10A1","Collagen alpha-1(X) chain","COAA1","Q03692"
"X10041.3",124,0.998684351334848,0.0968823664645095,TRUE,98,"HNF4A","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235"
"X13095.51",124,0.998684351334848,0.150770088134907,TRUE,99,"REG1A","Lithostathine-1-alpha","PSP","P05451"
"X15304.1",124,0.998684351334848,0.195831581194111,TRUE,100,"REG3A","Regenerating islet-derived protein 3-alpha","PAP1","Q06141"
"X16770.3",124,0.998684351334848,0.159663584572309,TRUE,101,"REG1B","Lithostathine-1-beta","REG1B","P48304"
"X2836.68",124,0.998684351334848,0.0841149128933989,TRUE,102,"LCN2","Neutrophil gelatinase-associated lipocalin","Lipocalin 2","P80188"
"X2900.53",124,0.998684351334848,0.153110524653455,TRUE,103,"CCL14","C-C motif chemokine 14","HCC-1","Q16627"
"X4982.54",124,0.998684351334848,0.135472736574995,TRUE,104,"PI3","Elafin","Elafin","P19957"
"X5015.15",125,0.998666519184918,0.0963318362172271,TRUE,105,"PLA2G7","Platelet-activating factor acetylhydrolase","PAFAH","Q13093"
"X18877.15",124,0.998665466425779,0.260239309221532,TRUE,106,"CNN2","Calponin-2","CNN2","Q99439"
"X22077.46",124,0.998665466425779,0.070291371447654,TRUE,107,"ATP23","Mitochondrial inner membrane protease ATP23 homolog","ATP23","Q9Y6H3"
"X9910.9",124,0.998665466425779,0.170873004399684,TRUE,108,"MTAP","S-methyl-5'-thioadenosine phosphorylase","MTAP","Q13126"
"X14109.15",123,0.998651999909703,0.127739513731183,TRUE,109,"CCL15","C-C motif chemokine 15","MIP-5","Q16663"
"X10382.1",123,0.99865199556255,0.180169684196706,TRUE,110,"ANGPTL3","Angiopoietin-related protein 3","ANGL3","Q9Y5C1"
"X10391.1",123,0.99865199556255,0.181285336305273,TRUE,111,"ANGPTL3","Angiopoietin-related protein 3","ANGL3","Q9Y5C1"
"X4983.6",123,0.99865199556255,0.131391548576446,TRUE,112,"ERP29","Endoplasmic reticulum resident protein 29","ERP29","P30040"
"X25276.32",125,0.998648083966276,0.0935068564359997,TRUE,113,"RABL6","Rab-like protein 6","RABL6","Q3YEC7"
"X9991.112",124,0.99864658151671,0.443940037186844,TRUE,114,"EMILIN3","EMILIN-3:region 2","EMIL3:region 2","Q9NT22"
"X10976.44",124,0.998633991577331,0.345167305310066,TRUE,115,"MUC1","Mucin-1:region 3","MUC1:region 3","P15941"
"X12457.10",124,0.998633991577331,0.157092341953603,TRUE,116,"ADI1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase","MTND","Q9BV57"
"X12730.3",124,0.998633991577331,0.257415685880321,TRUE,117,"NDC80","Kinetochore protein NDC80 homolog","KNTC2","O14777"
"X13660.76",124,0.998633991577331,0.237365370452989,TRUE,118,"ANGPT2","Angiopoietin-2","Angiopoietin-2","O15123"
"X23258.56",124,0.998633991577331,0.0793186651432999,TRUE,119,"COA7","Cytochrome c oxidase assembly factor 7","COA7","Q96BR5"
"X24443.8",124,0.998633991577331,0.234885196102923,TRUE,120,"MORF4L2","Mortality factor 4-like protein 2","MO4L2","Q15014"
"X25307.8",124,0.998633991577331,0.232321287112625,TRUE,121,"WDR18","WD repeat-containing protein 18","WDR18","Q9BV38"
"X2602.2",124,0.998633991577331,0.236981265351768,TRUE,122,"ANGPT2","Angiopoietin-2","Angiopoietin-2","O15123"
"X4962.52",124,0.998633991577331,0.198909739026988,TRUE,123,"CDNF","Cerebral dopamine neurotrophic factor","ARMEL","Q49AH0"
"X22023.3",123,0.99863265062611,0.16521474440123,TRUE,124,"AADAT","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial","AADAT","Q8N5Z0"
"X11180.17",123,0.998632646216558,0.111431179814443,TRUE,125,"SMARCC1","SWI/SNF complex subunit SMARCC1","SMRC1","Q92922"
"X14131.37",125,0.998629648747634,0.226525435267181,TRUE,126,"EFNB2","Ephrin-B2:Extracellular domain","EFNB2:ECD","P52799"
"X14618.26",124,0.998627696607641,0.108761986396273,TRUE,127,"VOPP1","Vesicular, overexpressed in cancer, prosurvival protein 1","ECOP","Q96AW1"
"X23520.60",123,0.998626200864913,0.273607612760072,TRUE,128,"MBLAC2","Beta-lactamase-like protein FLJ75971","YE006","Q68D91"
"X5708.1",122,0.998618574554011,0.37052916467915,TRUE,129,"LEAP2","Liver-expressed antimicrobial peptide 2","LEAP2","Q969E1"
"X13231.90",122,0.998618569988598,0.139831121677663,TRUE,130,"IGHG4","Ig gamma-4, Kappa","IgG4, Kappa","P01861"
"X13268.45",122,0.998618569988598,0.265242488466875,TRUE,131,"WNT5A","Protein Wnt-5a","WNT5A","P41221"
"X23617.15",121,0.998617918951786,0.0944142178296071,TRUE,132,"HYPK","Huntingtin-interacting protein K","HYPK","Q9NX55"
"X21133.33",125,0.998611213528993,0.0880637172785907,TRUE,133,"CMC4","Cx9C motif-containing protein 4","CMC4","P56277"
"X10938.13",124,0.998608811698572,0.123038738177085,TRUE,134,"CD58","Lymphocyte function-associated antigen 3","sLFA-3","P19256"
"X22527.4",123,0.998600410847138,0.122812867782568,TRUE,135,"PDLIM3","PDZ and LIM domain protein 3","PDLI3","Q53GG5"
"X9744.139",123,0.998600401820123,0.26717872392804,TRUE,136,"DNAJA4","DnaJ homolog subfamily A member 4","DNJA4","Q8WW22"
"X15363.32",123,0.998600397306571,0.272905189244897,TRUE,137,"APOA5","Apolipoprotein A-V","Apo A-V","Q6Q788"
"X19311.15",123,0.998600397306571,0.100930023775854,TRUE,138,"CRYGS","Beta-crystallin S","CRBS","P22914"
"X13605.16",122,0.998598754742422,0.215613208780283,TRUE,139,"ANXA10","Annexin A10","ANX10","Q9UJ72"
"X24904.121",122,0.998598754742422,0.182295301136179,TRUE,140,"STXBP4","Syntaxin-binding protein 4","STXB4","Q6ZWJ1"
"X8220.15",122,0.998598750111538,0.237065482647132,TRUE,141,"FAM241B","Uncharacterized protein C10orf35","CJ035","Q96D05"
"X6252.62",122,0.998598745480623,0.156242104777019,TRUE,142,"SCGB3A1","Secretoglobin family 3A member 1","Secretoglobin family 3A member 1","Q96QR1"
"X11493.169",124,0.998596221759192,0.130549111972756,TRUE,143,"DYNLL2","Dynein light chain 2, cytoplasmic","DYL2","Q96FJ2"
"X17702.53",121,0.998584049212758,0.221784885427743,TRUE,144,"UGT1A1","UDP-glucuronosyltransferase 1-1","UGT 1A1","P22309"
"X21549.144",121,0.998563719694994,0.295239361362134,TRUE,145,"TECTB","Beta-tectorin","TECTB","Q96PL2"
"X12403.30",124,0.998552156971364,0.140408559223473,TRUE,146,"RAB39B","Ras-related protein Rab-39B","RB39B","Q96DA2"
"X14341.8",124,0.998552156971364,0.233150556976447,TRUE,147,"DIPK1C","Protein FAM69C","FA69C","Q0P6D2"
"X16926.44",124,0.998552156971364,0.0971295564680745,TRUE,148,"ALPL","Alkaline phosphatase, tissue-nonspecific isozyme","Alkaline phosphatase, liver","P05186"
"X17505.125",124,0.998552156971364,0.209607546303029,TRUE,149,"NAALADL1","N-acetylated-alpha-linked acidic dipeptidase-like protein","NALDL","Q9UQQ1"
"X21154.8",124,0.998552156971364,0.189734277961103,TRUE,150,"CAB39L","Calcium-binding protein 39-like","CB39L","Q9H9S4"
"X19335.2",120,0.998548333883207,0.158170036838935,TRUE,151,"JPT1","Hematological and neurological expressed 1 protein","HN1","Q9UK76"
"X19334.62",125,0.998543617727306,0.0827653289014859,TRUE,152,"TXNDC12","Thioredoxin domain-containing protein 12","TXD12","O95881"
"X9738.7",125,0.998543617727306,0.098255381248367,TRUE,153,"FAF2","FAS-associated factor 2","FAF2","Q96CS3"
"X7717.95",123,0.998542353969344,0.143396608827583,TRUE,154,"CFTR","Cystic fibrosis transmembrane conductance regulator","CFTR","P13569"
"X10054.3",124,0.998533272062295,0.252108498317355,TRUE,155,"GAN","Gigaxonin","GAN","Q9H2C0"
"X13583.19",124,0.998533272062295,0.214283215752479,TRUE,156,"APAF1","Apoptotic protease-activating factor 1","Apaf-1","O14727"
"X13652.2",124,0.998533272062295,0.148264733607404,TRUE,157,"TOM1L1","TOM1-like protein 1","TM1L1","O75674"
"X14186.13",124,0.998533272062295,0.237098939770268,TRUE,158,"RFFL","E3 ubiquitin-protein ligase rififylin","RFFL","Q8WZ73"
"X23178.95",124,0.998533272062295,0.294521453816666,TRUE,159,"HNMT","Histamine N-methyltransferase","HNMT","P50135"
"X23310.51",124,0.998533272062295,0.236665108802473,TRUE,160,"RAB38","Ras-related protein Rab-38","RAB38","P57729"
"X18931.40",120,0.99852752213926,0.141198127431736,TRUE,161,"SLIT3","Slit homolog 3 protein","SLIT3","O75094"
"X22572.19",120,0.998527496570526,0.208162854300631,TRUE,162,"PGA4","Pepsin A-4","PEPA4","P0DJD7"
"X14043.12",123,0.998516564492358,0.134363275924692,TRUE,163,"EEA1","Early endosome antigen 1","EEA1","Q15075"
"X9745.20",123,0.998516564492358,0.153755767022477,TRUE,164,"EIF4E2","Eukaryotic translation initiation factor 4E type 2","IF4E2","O60573"
"X9199.6",123,0.998516554924554,0.252272466468658,TRUE,165,"UBE2G2","Ubiquitin-conjugating enzyme E2 G2","UB2G2","P60604"
"X25083.26",123,0.998516550140605,0.0948886884530625,TRUE,166,"DIAPH1","Protein diaphanous homolog 1","Diaphanous-related formin-1","O60610"
"X4696.2",123,0.998516550140605,0.218714953575576,TRUE,167,"FABP3","Fatty acid-binding protein, heart","FABP","P05413"
"X7918.114",123,0.998516550140605,0.282136660736397,TRUE,168,"AMY1A","Alpha-amylase 1","Amylase, alpha 1A","P04745"
"X9388.18",123,0.998516550140605,0.267247654170186,TRUE,169,"MCEE","Methylmalonyl-CoA epimerase, mitochondrial","MCEE","Q96PE7"
"X23318.60",124,0.998501797213846,0.182537824528784,TRUE,170,"PCTP","Phosphatidylcholine transfer protein","PPCT","Q9UKL6"
"X5654.70",125,0.998500602217142,0.188497014059495,TRUE,171,"TMX3","Protein disulfide-isomerase TMX3","TMX3","Q96JJ7"
"X13101.60",123,0.998497205640961,0.123261334214234,TRUE,172,"SOST","Sclerostin","SOST","Q9BQB4"
"X18415.16",123,0.998497205640961,0.341131152161561,TRUE,173,"ARL6","ADP-ribosylation factor-like protein 6","ARL6","Q9H0F7"
"X24445.38",123,0.998497205640961,0.177445954931465,TRUE,174,"AFAP1L2","Actin filament-associated protein 1-like 2","AF1L2","Q8N4X5"
"X7785.1",123,0.998497205640961,0.223937904610407,TRUE,175,"EFNB3","Ephrin-B3:Cytoplasmic domain","Ephrin-B3:CD","Q15768"
"X23578.6",123,0.998497200794613,0.191797574658254,TRUE,176,"SMIM3","Small integral membrane protein 3","SMIM3","Q9BZL3"
"X11654.77",124,0.998495502244157,0.0982376028188738,TRUE,177,"NRSN1","Neurensin-1","NRSN1","Q8IZ57"
"X6380.23",119,0.998490071507934,0.148610406006935,TRUE,178,"MRPL58","Peptidyl-tRNA hydrolase ICT1, mitochondrial","ICT1","Q14197"
"X8005.1",124,0.998489221539924,0.120268700338857,TRUE,179,"MXRA7","Matrix-remodeling-associated protein 7","MXRA7","P84157"
"X5129.12",125,0.998488312071381,0.322320475430891,TRUE,180,"SCARF1","Scavenger receptor class F member 1","SREC-I","Q14162"
"X17467.1",122,0.998479766016161,0.388881981914747,TRUE,181,"DHRS9","Dehydrogenase/reductase SDR family member 9","DHRS9","Q9BPW9"
"X9102.28",122,0.998479766016161,0.195991972319086,TRUE,182,"ZFYVE27","Protrudin:Cytoplasmic domain, region 2, isoform 5","ZFY27:CD region 2","Q5T4F4"
"X16850.5",122,0.998473171441035,0.262421919647009,TRUE,183,"RGS5","Regulator of G-protein signaling 5","RGS5","O15539"
"X25308.8",123,0.998464956834973,0.17775886155653,TRUE,184,"LIMK1","LIM domain kinase 1","LIMK1","P53667"
"X4588.1",123,0.998464951884626,0.289935642962123,TRUE,185,"PPY","Pancreatic hormone","PH","P01298"
"X9730.22",124,0.998464027395708,0.304462317553542,TRUE,186,"GHDC","GH3 domain-containing protein","GHDC","Q8N2G8"
"X9266.1",122,0.998459947056549,0.376968390553053,TRUE,187,"TREM1","Triggering receptor expressed on myeloid cells 1","sTREM-1","Q9NP99"
"X19373.3",122,0.998459941966912,0.119844653535674,TRUE,188,"MYL12A","Myosin regulatory light chain 12A","MLRM","P19105"
"X21191.24",122,0.998459941966912,0.107086301941225,TRUE,189,"DUSP21","Dual specificity protein phosphatase 21","DUS21","Q9H596"
"X8325.37",122,0.998459941966912,0.143271554538217,TRUE,190,"ADH4","Alcohol dehydrogenase 4","ADH4","P08319"
"X13738.8",124,0.998457732426018,0.078862130214337,TRUE,191,"INHBA","Inhibin beta A chain","Inhibin bA chain","P08476"
"X12414.31",125,0.998451441634098,0.147688207598717,TRUE,192,"YWHAB","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946"
"X3709.4",121,0.998441760810284,0.241127603630288,TRUE,193,"GPT","Alanine aminotransferase 1","ALT","P24298"
"X6420.4",121,0.998441760810284,0.25962044737811,TRUE,194,"SDHAF2","Succinate dehydrogenase assembly factor 2, mitochondrial","SDHF2","Q9NX18"
"X22576.1",122,0.998426909107734,0.326242915709023,TRUE,195,"CD209","CD209 antigen","DC-SIGN","Q9NNX6"
"X13518.5",121,0.998421457340393,0.0943129467761863,TRUE,196,"ASAP2","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2","ASAP2","O43150"
"X20173.39",121,0.998421446645913,0.156907841310883,TRUE,197,"CAPN9","Calpain-9","CAN9","O14815"
"X3503.4",121,0.998421435951288,0.200309459785566,TRUE,198,"ITGA1|ITGB1","Integrin alpha-I: beta-1 complex","Integrin a1b1","P56199|P05556"
"X13107.9",123,0.998419818698382,0.192669677666362,TRUE,199,"LYPD3","Ly6/PLAUR domain-containing protein 3","LYPD3","O95274"
"X11682.7",123,0.99841980850659,0.298057614809625,TRUE,200,"TXNIP","Thioredoxin-interacting protein","TXNIP","Q9H3M7"
"X8467.9",123,0.99841980850659,0.094663885334712,TRUE,201,"INHBA|INHBB","Inhibin beta A chain:Inhibin beta B chain heterodimer","Activin AB","P08476|P09529"
"X12851.5",123,0.998419803410645,0.277651373106029,TRUE,202,"POLM","DNA-directed DNA/RNA polymerase mu","DPOLM","Q9NP87"
"X3074.6",119,0.998411720505543,0.135047201523798,TRUE,203,"LBP","Lipopolysaccharide-binding protein","LBP","P18428"
"X9278.9",119,0.998411714849398,0.191770570612174,TRUE,204,"CXCL12","Stromal cell-derived factor 1","SDF-1","P48061"
"X16825.20",125,0.998408426123934,0.0750645985561992,TRUE,205,"ATXN3","Ataxin-3","ATX3","P54252"
"X17775.8",125,0.998408426123934,0.171564194694634,TRUE,206,"TAGLN3","Transgelin-3","TAGL3","Q9UI15"
"X3232.28",125,0.998408426123934,0.159557024638689,TRUE,207,"ACP5","Tartrate-resistant acid phosphatase type 5","TrATPase","P13686"
