"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X13930.3",95,0.0958014251914488,0.982334919737355,TRUE,3070,"APOBEC3G","DNA dC->dU-editing enzyme APOBEC-3G","ABC3G","Q9HC16"
"X8336.267",95,0.095134431370353,1.09843835858101,TRUE,3071,"GRAMD1C","GRAM domain-containing protein 1C","GRM1C","Q8IYS0"
"X4859.6",97,0.0949872758477836,0.959744029244455,TRUE,3072,"BMPR1A","Bone morphogenetic protein receptor type-1A","BMPR1A","P36894"
"X14036.116",97,0.0947110926989012,1.06165256080306,TRUE,3073,"MPDZ","Multiple PDZ domain protein","MPDZ","O75970"
"X2939.10",91,0.0944538243445573,1.03939500269524,TRUE,3074,"ARTN","Artemin","Artemin","Q5T4W7"
"X4146.58",97,0.0941850295581727,1.0722313176664,TRUE,3075,"NTF4","Neurotrophin-4","Neurotrophin-5","P34130"
"X2501.51",97,0.093580056946335,0.99242138923746,TRUE,3076,"CDH1","Cadherin-1","Cadherin E","P12830"
"X5114.65",95,0.0933081338373233,0.963970331936511,TRUE,3077,"PRLR","Prolactin receptor","Prolactin Receptor","P16471"
"X13119.26",93,0.093216734690832,1.03307905702676,TRUE,3078,"SERPINA10","Protein Z-dependent protease inhibitor","protein Z inhibitor","Q9UK55"
"X4294.16",97,0.093146054855234,1.11313726037642,TRUE,3079,"SPHK1","Sphingosine kinase 1","Sphingosine kinase 1","Q9NYA1"
"X18339.207",97,0.0929356295989426,0.977224582718766,TRUE,3080,"PSMB3","Proteasome subunit beta type-3","PSB3","P49720"
"X23541.61",97,0.0927252043426512,1.0287721116073,TRUE,3081,"CLYBL","Citrate lyase subunit beta-like protein, mitochondrial","CLYBL","Q8N0X4"
"X24697.48",94,0.0922084209461461,1.00456496724959,TRUE,3082,"HNRNPA0","Heterogeneous nuclear ribonucleoprotein A0","ROA0","Q13151"
"X18386.36",96,0.0919833398906511,0.97220253906613,TRUE,3083,"GLRX","Glutaredoxin-1","GLRX1","P35754"
"X9391.60",94,0.0916816000924909,0.982041344470961,TRUE,3084,"PCSK1N","ProSAAS","PCSK1","Q9UHG2"
"X13948.50",94,0.0916014538307574,0.856404186903892,TRUE,3085,"GABBR2","Gamma-aminobutyric acid type B receptor subunit 2:Extracellular domain","GABR2:ECD","O75899"
"X10924.258",97,0.0911733180775023,0.958979594269702,TRUE,3086,"CYB5D2","Neuferricin","NEUFC","Q8WUJ1"
"X17808.37",95,0.0910974534152795,1.04003195153574,TRUE,3087,"NIT2","Omega-amidase NIT2","NIT2","Q9NQR4"
"X12504.26",93,0.0910420366197603,1.07862444831897,TRUE,3088,"LMOD1","Leiomodin-1","LMOD1","P29536"
"X24935.62",97,0.0900554339034543,1.08859672157495,TRUE,3089,"FOXP1","Forkhead box protein P1","FOXP1","Q9H334"
"X12503.5",96,0.089345190853158,1.06917116097492,TRUE,3090,"GPR68","Ovarian cancer G-protein coupled receptor 1","SPR1","Q15743"
"X25949.3",95,0.0886830886830887,1.09991158204982,TRUE,3091,"PLCD3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3","PLCD3","Q8N3E9"
"X4453.83",97,0.0878196655553583,0.95594870557006,TRUE,3092,"LRRTM3","Leucine-rich repeat transmembrane neuronal protein 3","LRRT3","Q86VH5"
"X25252.29",95,0.0877170877170877,0.994215632601354,TRUE,3093,"MTSS2","MTSS1-like protein","MTSSL","Q765P7"
"X19620.16",96,0.0874458169681923,1.04047489306392,TRUE,3094,"DLG2","Disks large homolog 2","DLG2","Q15700"
"X21839.3",97,0.087056874001302,0.9668932430983,TRUE,3095,"POU2AF1","POU domain class 2-associating factor 1","OBF1","Q16633"
"X16763.11",97,0.086991116108711,1.03483787091638,TRUE,3096,"LECT2","Leukocyte cell-derived chemotaxin-2","LECT2","O14960"
"X8528.74",94,0.0864356321174634,0.966743787324469,TRUE,3097,"ISLR2","Immunoglobulin superfamily containing leucine-rich repeat protein 2","ISLR2","Q6UXK2"
"X5716.49",95,0.0859530859530859,0.829033006880585,TRUE,3098,"CSAG1","Putative chondrosarcoma-associated gene 1 protein","CSAG1","Q6PB30"
"X11388.75",97,0.0856759582568898,1.26535465985472,TRUE,3099,"WFDC2","WAP four-disulfide core domain protein 2","HE4","Q14508"
"X6431.68",97,0.0854918361576348,0.993046814284569,TRUE,3100,"PCYOX1","Prenylcysteine oxidase 1","PCYOX","Q9UHG3"
"X23576.46",95,0.0846370846370846,0.993329881792293,TRUE,3101,"BEX4","Protein BEX4","BEX4","Q9NWD9"
"X23652.15",97,0.0844923161902507,1.03739715451234,TRUE,3102,"PIPOX","Peroxisomal sarcosine oxidase","SOX","Q9P0Z9"
"X5638.23",96,0.0844475196212106,1.08899066049162,TRUE,3103,"COLGALT1","Procollagen galactosyltransferase 1","GT251","Q8NBJ5"
"X4245.80",96,0.0843796848396047,1.0398804827825,TRUE,3104,"MDM2","E3 ubiquitin-protein ligase Mdm2","MDM2","Q00987"
"X20435.41",97,0.0833481288591663,1.06273448674267,TRUE,3105,"EMC2","ER membrane protein complex subunit 2","EMC2","Q15006"
"X8328.9",96,0.0831993596396616,1.1887239292498,TRUE,3106,"ETNK1","Ethanolamine kinase 1","EKI1","Q9HBU6"
"X21113.3",91,0.0830532502907023,1.13326828322963,TRUE,3107,"TIFA","TRAF-interacting protein with FHA domain-containing protein A","TIFA","Q96CG3"
"X2620.4",97,0.0829667330821382,1.00448631757869,TRUE,3108,"IL6ST","Interleukin-6 receptor subunit beta","gp130, soluble","P40189"
"X18214.2",94,0.0826848178737364,1.14995077121328,TRUE,3109,"GCLM","Glutamate--cysteine ligase regulatory subunit","GSH0","P48507"
"X23327.1",97,0.0824932762554826,0.865673600700132,TRUE,3110,"BORCS5","BLOC-1-related complex subunit 5","BORC5","Q969J3"
"X24695.8",97,0.0824143667843733,1.00426978394555,TRUE,3111,"PLEKHB1","Pleckstrin homology domain-containing family B member 1","PKHB1","Q9UF11"
"X22481.15",97,0.0813096341888435,1.05084875377025,TRUE,3112,"IQCD","IQ domain-containing protein D","IQCD","Q96DY2"
"X19142.39",95,0.0811715129709222,1.04894681773424,TRUE,3113,"DNMT3L","DNA (cytosine-5)-methyltransferase 3-like","DNM3L","Q9UJW3"
"X17140.57",84,0.0810296291795775,1.0854470917473,TRUE,3114,"PDGFD","Platelet-derived growth factor D","PDGFD","Q9GZP0"
"X23646.5",97,0.0809939963044064,1.18917880004194,TRUE,3115,"AIPL1","Aryl-hydrocarbon-interacting protein-like 1","AIPL1","Q9NZN9"
"X9416.77",97,0.0809282384118154,1.05630672003162,TRUE,3116,"CPM","Carboxypeptidase M","CBPM","P14384"
"X12568.14",96,0.0789455833073302,0.933170104203485,TRUE,3117,"KEAP1","Kelch-like ECH-associated protein 1","KEAP1","Q14145"
"X15608.5",95,0.078861526830839,1.04538845653247,TRUE,3118,"RPS6KB1","Ribosomal protein S6 kinase beta-1","KS6B1","P23443"
"X10608.9",97,0.0788108342703833,0.923690872664591,TRUE,3119,"HTN1","Histatin-1","HIS1","P15515"
"X23254.31",97,0.0785083479644644,1.16030897898937,TRUE,3120,"NDUFAF3","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3","NDUF3","Q9BU61"
"X9257.14",96,0.0776504745042973,1.07621128322785,TRUE,3121,"TACO1","Translational activator of cytochrome c oxidase 1","TACO1","Q9BSH4"
"X5792.8",97,0.0775614343111532,0.915420527430977,TRUE,3122,"AFP","alpha-Fetoprotein","AFP","P02771"
"X4792.51",93,0.0773432020652709,1.15764487301133,TRUE,3123,"env","gp41 C34 peptide, HIV","C34 gp41 HIV Fragment","Q70626"
"X8250.2",97,0.0771931901126433,0.938357051281291,TRUE,3124,"PTPRJ","Receptor-type tyrosine-protein phosphatase eta","PTPRJ","Q12913"
"X11185.145",96,0.0763209127848213,1.09107321174998,TRUE,3125,"GCH1","GTP cyclohydrolase 1","GCH1","P30793"
"X23559.10",97,0.0762331248808138,1.06286117005806,TRUE,3126,"DDRGK1","DDRGK domain-containing protein 1","DDRGK","Q96HY6"
"X5612.16",97,0.0762068217237774,1.14796684045342,TRUE,3127,"HINT2","Histidine triad nucleotide-binding protein 2, mitochondrial","HINT2","Q9BX68"
"X21676.17",97,0.0759832448889678,1.02691216444479,TRUE,3128,"SERPINB2","PAI-2","PAI-2","P05120"
"X18415.16",96,0.0759337394348044,1.02069468917827,TRUE,3129,"ARL6","ADP-ribosylation factor-like protein 6","ARL6","Q9H0F7"
"X21730.56",96,0.0757511006193316,1.11933453518628,TRUE,3130,"USP19","Ubiquitin carboxyl-terminal hydrolase 19","UBP19","O94966"
"X17166.4",94,0.075264466154113,1.1740341561917,TRUE,3131,"FGF8","Fibroblast growth factor 8 isoform F","FGF-8F","P55075"
"X9245.1",97,0.075062634392693,0.953928657176029,TRUE,3132,"KIR2DL4","Killer cell immunoglobulin-like receptor 2DL4","KI2L4","Q99706"
"X19120.33",95,0.0745570745570746,1.07210072148839,TRUE,3133,"DAO","D-amino-acid oxidase","OXDA","P14920"
"X2858.29",97,0.0744313586238188,1.09741915631389,TRUE,3134,"HAT1","Histone acetyltransferase type B catalytic subunit","Hat1","O14929"
"X6494.60",97,0.0735896575986533,1.00110683119313,TRUE,3135,"SPACA5","Sperm acrosome-associated protein 5","sperm acrosome associated 5","Q96QH8"
"X18171.25",97,0.0731688070860705,1.02608387489595,TRUE,3136,"CXCL11","C-X-C motif chemokine 11","I-TAC","O14625"
"X10572.65",97,0.0721955902757228,1.05363638518717,TRUE,3137,"CST8","Cystatin-8","CST8","O60676"
"X24420.57",95,0.0716590716590716,0.99765982562,TRUE,3138,"DOHH","Deoxyhypusine hydroxylase","DOHH","Q9BU89"
"X19504.22",95,0.0715610715610716,0.960126346343395,TRUE,3139,"DTYMK","Thymidylate kinase","KTHY","P23919"
"X12800.5",97,0.0711829187298205,0.863921446978351,TRUE,3140,"TPPP2","Tubulin polymerization-promoting protein family member 2","TPPP2","P59282"
"X9296.15",97,0.070959341895011,0.977377908531663,TRUE,3141,"PTPRD","Receptor-type tyrosine-protein phosphatase delta","PTPRD","P23468"
"X11248.43",96,0.0698766085322588,0.932732110310511,TRUE,3142,"UROS","Uroporphyrinogen-III synthase","HEM4","P10746"
"X14125.5",92,0.0697803468208092,1.0478462040049,TRUE,3143,"APOM","Apolipoprotein M","ApoM","O95445"
"X20959.12",94,0.0691080409272212,1.10165299960218,TRUE,3144,"DUSP18","Dual specificity protein phosphatase 18","DUS18","Q8NEJ0"
"X5356.2",97,0.0690655145883885,1.03630548445957,TRUE,3145,"MIF","Macrophage migration inhibitory factor","MIF","P14174"
"X19188.21",96,0.0683164085553227,1.14423057124993,TRUE,3146,"NAP1L4","nucleosome assembly protein 1-like 4","NAP2L","Q99733"
"X14048.7",93,0.0683071321450156,1.0156429097723,TRUE,3147,"IL1RAP","Interleukin-1 Receptor accessory protein","IL-1 R AcP","Q9NPH3"
"X13661.193",93,0.0681679127307457,1.04337234277672,TRUE,3148,"CST5","Cystatin-D","CYTD","P28325"
"X5627.53",95,0.068019068019068,0.819338941653372,TRUE,3149,"GNRH1","Progonadoliberin-1","GON1","P01148"
"X21311.22",95,0.0678370678370678,1.15056365098424,TRUE,3150,"JDP2","Jun dimerization protein 2","JDP2","Q8WYK2"
"X21235.11",95,0.0678361181304643,1.18320223219389,TRUE,3151,"KPNA5","Importin subunit alpha-6","IMA6","O15131"
"X14634.13",97,0.0674084156950938,1.23134319338219,TRUE,3152,"LHCGR","Lutropin-choriogonadotropic hormone receptor","LSHR","P22888"
"X23039.56",97,0.0668165946617743,1.15010577675927,TRUE,3153,"MEOX2","Homeobox protein MOX-2","MEOX2","P50222"
"X6527.1",96,0.066281365107145,1.10295286356405,TRUE,3154,"TRIL","TLR4 interactor with leucine rich repeats:Extracellular domain","TRIL:ECD","Q7L0X0"
"X11220.53",97,0.0643967042144233,0.900779874480592,TRUE,3155,"C10orf105","Uncharacterized protein C10orf105","CJ105","Q8TEF2"
"X23555.11",97,0.0638706410736949,1.10767383415947,TRUE,3156,"RRAD","GTP-binding protein RAD","RAD","P55042"
"X8859.51",97,0.0636602158174035,1.07222532419203,TRUE,3157,"CA11","Carbonic anhydrase-related protein 11","CAH11","O75493"
"X5138.50",95,0.0628110628110628,1.10305492191944,TRUE,3158,"TNFRSF12A","Tumor necrosis factor receptor superfamily member 12A","TWEAKR","Q9NP84"
"X15482.12",95,0.0626010626010626,1.02370897135679,TRUE,3159,"A2ML1","Alpha-2-macroglobulin-like protein 1","A2ML1","A8K2U0"
"X20590.13",97,0.062266148494473,1.10583387247461,TRUE,3160,"NPY","Neuropeptide Y","NPY","P01303"
"X15504.39",95,0.0612990612990613,1.12662340248155,TRUE,3161,"BIRC7","Baculoviral IAP repeat-containing protein 7 Isoform beta","Livin B","Q96CA5"
"X21375.34",96,0.0612136916794421,1.1651011694149,TRUE,3162,"RAB3IL1","Guanine nucleotide exchange factor for Rab-3A","R3GEF","Q8TBN0"
"X18831.6",97,0.0608720811715426,1.0199022147013,TRUE,3163,"LRIG1","Leucine-rich repeats and immunoglobulin-like domains protein 1","LRIG1","Q96JA1"
"X5679.16",96,0.0604204399763935,0.806135006004373,TRUE,3164,"DEFB103A","Beta-defensin 103","HBD-3","P81534"
"X20389.36",93,0.060199071794183,1.05923832707161,TRUE,3165,"IMMP2L","Mitochondrial inner membrane protease subunit 2","IMP2L","Q96T52"
"X20441.35",97,0.0600829864604499,1.0591398242854,TRUE,3166,"POLR2E","DNA-directed RNA polymerases I, II, and III subunit RPABC1","RPAB1","P19388"
"X7755.37",97,0.0595174685841668,1.00707610610266,TRUE,3167,"ITGB5","Integrin beta-5","ITB5","P18084"
"X16755.195",97,0.0591886791212115,0.961655598317855,TRUE,3168,"GDF3","Growth/differentiation factor 3","GDF-3","Q9NR23"
"X9955.40",96,0.0582090260960405,1.06170670212276,TRUE,3169,"RNF148","RING finger protein 148:region 2","RN148:region 2","Q8N7C7"
"X17793.4",94,0.057040869414417,0.836841775099264,TRUE,3170,"DIRAS1","GTP-binding protein Di-Ras1","DIRA1","O95057"
"X21821.9",97,0.0568082434094152,1.1383342051108,TRUE,3171,"None","Peptidyl-prolyl cis-trans isomerase A-like 4D","PAL4D","F5H284"
"X9204.33",96,0.055889076565118,1.00873693980015,TRUE,3172,"POMC","Pro-opiomelanocortin","Corticotropin-lipotropin","P01189"
"X7808.5",97,0.0558350265990676,1.0962859967429,TRUE,3173,"GLCE","D-glucuronyl C5-epimerase","GLCE","O94923"
"X19797.4",97,0.0547697487390924,0.943435605134155,TRUE,3174,"KAT2A","Histone acetyltransferase KAT2A","GCNL2","Q92830"
"X8967.6",97,0.0546513845324285,1.00669271138487,TRUE,3175,"DUSP26","Dual specificity protein phosphatase 26","DUS26","Q9BV47"
"X2585.2",96,0.0546137826709267,0.986107451614794,TRUE,3176,"PRL","Prolactin","PRL","P01236"
"X12711.19",96,0.0544102783261089,0.990922248955655,TRUE,3177,"GJA8","Gap junction alpha-8 protein","CXA8","P48165"
"X22404.4",97,0.0540990182346636,1.15174123910816,TRUE,3178,"IP6K1","Inositol hexakisphosphate kinase 1","IP6K1","Q92551"
"X12687.2",95,0.0540882968521409,1.20050966377762,TRUE,3179,"DECR1","2,4-dienoyl-CoA reductase, mitochondrial","DECR","Q16698"
"X13640.5",96,0.0540575374617581,0.964437150361371,TRUE,3180,"BCL6","B-cell lymphoma 6 protein","BCL6","P41182"
"X12557.18",92,0.0533885176535874,1.03492613588336,TRUE,3181,"NOVA1","RNA-binding protein Nova-1","NOVA1","P51513"
"X23410.46",97,0.0530468919532067,1.09412981045294,TRUE,3182,"EIF3M","Eukaryotic translation initiation factor 3 subunit M","EIF3M","Q7L2H7"
"X7218.87",97,0.0528364666969153,1.15874753730134,TRUE,3183,"ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2","AT1B2","P14415"
"X22547.17",97,0.0521525846139683,1.16104941954394,TRUE,3184,"RBMS1","RNA-binding motif, single-stranded-interacting protein 1","RBMS1","P29558"
"X12361.102",97,0.0517448856799037,1.14884001084634,TRUE,3185,"RRAS2","Ras-related protein R-Ras2","RRAS2","P62070"
"X19206.20",94,0.051715043390923,0.950135057546706,TRUE,3186,"NUDT1","7,8-dihydro-8-oxoguanine triphosphatase","8ODP","P36639"
"X9468.8",97,0.051639673051758,0.982939534536579,TRUE,3187,"LMAN2","Vesicular integral-membrane protein VIP36","Lectin, mannose-binding 2","Q12907"
"X11242.33",95,0.0514850514850515,0.796496910112092,TRUE,3188,"TGM1","Protein-glutamine gamma-glutamyltransferase K","TGM1","P22735"
"X4997.19",96,0.0513305792412001,1.11946764447207,TRUE,3189,"EIF4A3","Eukaryotic initiation factor 4A-III","IF4A3","P38919"
"X15413.3",92,0.0507923295104205,1.16439546365413,TRUE,3190,"LCAT","Phosphatidylcholine-sterol acyltransferase","LCAT","P04180"
"X12521.3",97,0.0507716688695561,0.946491557556813,TRUE,3191,"CDKN2C","Cyclin-dependent kinase 4 inhibitor C","CDN2C","P42773"
"X9097.5",95,0.0502589948201036,0.982898440991415,TRUE,3192,"ELAPOR1","UPF0577 protein KIAA1324:Cytoplasmic domain","K1324:CD","Q6UXG2"
"X18880.81",97,0.0496274815384717,1.08095529617546,TRUE,3193,"COL3A1","Collagen Type III","Collagen Type III","P02461"
"X8631.13",96,0.0494990401378403,1.18270758729999,TRUE,3194,"ERMAP","Erythroid membrane-associated protein","ERMAP","Q96PL5"
"X19159.9",94,0.0488240182087503,0.891986761354383,TRUE,3195,"POLD4","DNA polymerase delta subunit 4","DNA polymerase subunit delta 4","Q9HCU8"
"X6407.63",96,0.0484950853700727,0.948889508498522,TRUE,3196,"LAD1","Ladinin-1","LAD1","O00515"
"X9823.2",96,0.0484950853700727,1.08277070522909,TRUE,3197,"DHFR","Dihydrofolate reductase","DYR","P00374"
