"protein_id","rank_EMCI","loess_corr_EMCI","rank_LMCI","loess_corr_LMCI","rank_AD","loess_corr_AD"
"X18907.97",1,0.998918467173021,5346,-0.323382528180665,6848,-0.901910905797839
"X17706.4",2,0.998806794178446,2183,0.300738337863879,111,0.908820106133239
"X9757.29",3,0.998648083966276,4625,-0.175774014680149,5838,-0.702509835843169
"X25276.32",4,0.998512892362904,1495,0.467865276468261,87,0.92300752287728
"X9738.7",5,0.997449794754566,2682,0.1986973070738,3143,0.0727348049949695
"X3642.4",6,0.997431359535924,4424,-0.141687427405817,4936,-0.465085846928778
"X16803.4",7,0.997395773088554,5078,-0.256719180626268,3816,-0.140302678795526
"X19121.3",8,0.99738219895288,1001,0.596169049280974,3264,0.0352791093751027
"X17775.8",9,0.996890593122434,357,0.776783682787717,2400,0.289564880024725
"X5980.55",10,0.99597497726323,1618,0.436596763208762,4895,-0.45044345044345
"X8901.40",11,0.99597497726323,877,0.630356061687022,1328,0.586343400866689
"X4707.50",12,0.995882801170022,1230,0.537867949049204,1529,0.527424329105101
"X15367.38",13,0.995016345893862,3756,-0.0166943684947302,6042,-0.746240292491106
"X10615.18",14,0.99488115429049,3556,0.02367831428913,6389,-0.808171075733365
"X9169.14",15,0.994856573998968,21,0.90156145756607,2926,0.137111781841616
"X7745.3",16,0.994690657031193,673,0.683744104523946,1116,0.636464066599594
"X19231.22",17,0.994595134976507,1304,0.518201537692359,6071,-0.754343121892319
"X16825.20",18,0.994395693532925,4704,-0.18754844606242,3844,-0.148692832625595
"X12387.7",19,0.993667260492141,1951,0.353728563219942,6193,-0.77842220512517
"X10613.33",20,0.993535383329646,1360,0.502196221496361,4011,-0.202225247085281
"X12720.71",21,0.993424772017796,1475,0.470627706712841,2987,0.121172068677543
"X4154.57",22,0.992748194917442,5204,-0.289106818506107,6557,-0.840629171516311
"X23617.15",23,0.992669550518788,6380,-0.616164498725459,2333,0.30984940984941
"X25451.39",24,0.992339046000346,4551,-0.16115850513942,5377,-0.571455813984073
"X12968.2",25,0.992294957099782,6622,-0.705944416420649,4729,-0.405577375743639
"X17325.10",26,0.992134306712878,5067,-0.254038115559195,4035,-0.210510741551755
