"variable","var_type","n","n_cases","odds_ratio","or_ci_low","or_ci_high","beta","se","z_value","p_value","aic","fdr","significant","label","category","or_unit"
"NPIKTOT","continuous",59,22,1.30636756085891,0.77221360262041,2.21000536415485,0.267250431425001,0.268236995571992,0.996322042957246,0.319093696943338,80.9311717756708,0.757079691494997,FALSE,"NPI Total Score","Neuropsychiatric","per 1-SD"
"EPA","continuous",88,34,0.82330409905428,0.515851131860714,1.31400242755036,-0.194429645880143,0.23852419050595,-0.815135963642618,0.414994487764611,120.700571499936,0.757079691494997,FALSE,"EPA (n-3 PUFA)","Nutrition","per 1-SD"
"HCys","continuous",90,35,1.17912715114185,0.771488726542885,1.80215314978114,0.16477446234059,0.216432490823459,0.761320362361835,0.446465741212105,123.704222331046,0.757079691494997,FALSE,"Homocysteine","Nutrition","per 1-SD"
"NPIK","binary",59,22,1.45185185185176,0.450596991540637,4.67795799638683,0.372839880792022,0.59694990222524,0.62457482512719,0.532250146765195,81.5483059796153,0.757079691494997,FALSE,"NPI Sleep Domain","Neuropsychiatric","1 vs 0"
"DHA","continuous",89,34,0.90385683292245,0.581467815053796,1.40499121923888,-0.101084301792925,0.22505885454442,-0.449146077800612,0.653326282770171,122.172497364147,0.757079691494997,FALSE,"DHA (n-3 PUFA)","Nutrition","per 1-SD"
"MH14ALCH","binary",113,42,1.28846153846152,0.273979322450384,6.05933732971863,0.253448900809525,0.789873235592247,0.320872881101597,0.748306725875623,153.023182021063,0.757079691494997,FALSE,"Alcohol Abuse History","Substance Use","1 vs 0"
"MH16SMOK","binary",113,42,1.12898550724635,0.523392325898763,2.43528269808609,0.121319448279417,0.392216020047418,0.309317932155729,0.757079691494997,153.029256374331,0.757079691494997,FALSE,"Smoking Status","Substance Use","1 vs 0"
