"Variable","Beta","SE","z_value","P_value","OR","CI_low","CI_high"
"(Intercept)",0.302099137739742,0.680134693345745,0.444175456266824,0.656915735659116,1.35269532321926,0.356662664524029,5.1302948681246
"DHA",0.26046809876721,0.588429701813962,0.442649475314147,0.6580192927846,1.29753732015203,0.409485364281451,4.11150982194844
"EPA",-0.328250057120955,0.601332928587809,-0.5458707506536,0.58515478541699,0.720182910322306,0.221604149932295,2.34049508765413
"HCys",0.442655213835478,0.411616564741832,1.07540670554188,0.282192680953912,1.55683546646552,0.69481250064603,3.48833198509142
"NPIK",-3.81393323186222,2.27958459885844,-1.67308255801173,0.0943110446830988,0.0220612361291098,0.000253051117137091,1.92331946624314
"NPIKTOT",1.85351267485267,1.22932117125571,1.50775299262062,0.131617757157269,6.38219878322817,0.573523239610857,71.0214660809153
"MH14ALCH",1.62338083883539,1.78995861411085,0.906937638690487,0.364439775783855,5.07020291170811,0.151838466317252,169.304644530466
"MH16SMOK",0.270986112075085,0.754189132923186,0.359307898039795,0.71936476653172,1.31125685962132,0.299026049158638,5.74998250734941
