"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X5337.64",484,0.265650515015663,0.265650515015663,0.915259266001671,TRUE,0.75,2822,"CD86","T-lymphocyte activation antigen CD86","B7-2","P42081"
"X9223.11",493,0.265480912838656,0.265480912838656,0.906286275344805,TRUE,0.75,2823,"MANF","Mesencephalic astrocyte-derived neurotrophic factor","ARMET","P55145"
"X23929.159",493,0.265425955777823,0.265425955777823,0.923414520176034,TRUE,0.75,2824,"PRRT2","Proline-rich transmembrane protein 2","PRRT2","Q7Z6L0"
"X16890.37",494,0.265285303263224,0.265285303263224,0.922908785439006,TRUE,0.75,2825,"ADAMTSL1","ADAMTS-like protein 1","ATL1","Q8N6G6"
"X24023.35",484,0.265276650319604,0.265276650319604,1.01120714286099,TRUE,0.75,2826,"PROCR","soluble Endothelial protein C receptor","sEPCR","Q9UNN8"
"X22503.24",495,0.26431657257326,0.26431657257326,0.834383633057697,TRUE,0.75,2827,"MKX","Homeobox protein Mohawk","MKX","Q8IYA7"
"X19572.10",490,0.264288029755521,0.264288029755521,0.970752203477525,TRUE,0.75,2828,"CEBPG","CCAAT/enhancer-binding protein gamma","CEBPG","P53567"
"X23152.49",493,0.264219846276263,0.264219846276263,0.938922985616905,TRUE,0.75,2829,"TNFAIP1","BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2","BACD2","Q13829"
"X7208.60",488,0.264084506678653,0.264084506678653,0.968985051189644,TRUE,0.75,2830,"MGAT4C","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C","MGT4C","Q9UBM8"
"X3521.16",483,0.2634642189504,0.2634642189504,0.959217324007895,TRUE,0.75,2831,"CGA|TSHB","Thyroid Stimulating Hormone","TSH","P01215|P01222"
