"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"CSAG1",-0.089238489007161,-0.089238489007161,1,"CSAG1","Others",NA
"CSDE1",-0.0884180177662822,-0.0884180177662822,1,"CSDE1","Others",NA
"CSF1",0.268782682178205,0.268782682178205,2,"CSF1.3738.54","Others",NA
"CSF1R",0.258391778828502,0.258391778828502,2,"CSF1R.13682.47","Microglia / Immune",NA
"CSF2RA",0.093444371898564,0.093444371898564,1,"CSF2RA","Others",NA
"CSF3",0.0944058421296267,0.0944058421296267,1,"CSF3.8952.65","Others",NA
"CSH1.CSH2",0.126034438002677,0.126034438002677,1,"CSH1.CSH2.6229.13","Others",NA
"CSK",-0.0921711208716147,-0.0921711208716147,1,"CSK","Others",NA
"CSMD1",0.190531835180389,0.190531835180389,1,"CSMD1","Others",NA
"CSMD2",0.295447634442603,0.295447634442603,1,"CSMD2","Others",NA
"CSNK1G2",-0.228339250588101,-0.228339250588101,1,"CSNK1G2.17436.193","Others",NA
"CSNK2A1",-0.202332293215371,-0.202332293215371,1,"CSNK2A1","Tau Kinases",NA
"CSNK2A1.CSNK2B",-0.148377335710071,-0.148377335710071,1,"CSNK2A1.CSNK2B","Others",NA
"CSNK2A2.CSNK2B",-0.20253682738543,-0.20253682738543,1,"CSNK2A2.CSNK2B","Others",NA
"CSRP2",0.114862535934263,0.114862535934263,1,"CSRP2","Others",NA
"CSRP3",0.388258533905104,0.388258533905104,1,"CSRP3","Others",NA
"CST3",-0.0905972321827981,-0.0905972321827981,1,"CST3","Others",NA
"CST4",0.141628197143473,0.141628197143473,1,"CST4","Others",NA
"CST6",0.187168286863097,0.187168286863097,2,"CST6.3303.23","Others",NA
"CST7",-0.152798456952858,-0.152798456952858,1,"CST7.3302.58","Others",NA
"CST8",0.201516286259097,0.201516286259097,1,"CST8","Others",NA
"CSTB",0.347238973296935,0.347238973296935,1,"CSTB","Others",NA
"CSTF1",-0.137601662354954,-0.137601662354954,1,"CSTF1","Others",NA
"CT45A1",-0.100155892309013,-0.100155892309013,1,"CT45A1","Others",NA
"CT83",-0.178324628295508,-0.178324628295508,1,"CT83","Others",NA
"CTDSPL",-0.226278466918379,-0.226278466918379,1,"CTDSPL","Others",NA
"CTF1",0.36400101235221,0.36400101235221,1,"CTF1.13732.79","Others",NA
"CTH",-0.0969270416981339,-0.0969270416981339,1,"CTH","Others",NA
"CTHRC1",0.167181733949739,0.167181733949739,1,"CTHRC1.15467.10","Others",NA
"CTNNA1",0.293855530297955,0.293855530297955,1,"CTNNA1.24426.191","Others",NA
"CTNNA2",0.173670124545186,0.173670124545186,1,"CTNNA2","Others",NA
"CTNNA3",-0.105680577639924,-0.105680577639924,1,"CTNNA3","Others",NA
"CTNNB1",-0.112675641510543,-0.0547744421332752,3,"CTNNB1.8424.269","Others",NA
"CTNNBIP1",0.400973820111044,0.400973820111044,1,"CTNNBIP1","Others",NA
"CTRB2",-0.0944263525161844,-0.0944263525161844,1,"CTRB2","Others",NA
"CTRL",-0.141690241448998,-0.141690241448998,1,"CTRL","Others",NA
"CTSB",0.127559536947448,0.127559536947448,1,"CTSB","Others",NA
"CTSD",-0.186801359378319,-0.186801359378319,1,"CTSD","Others",NA
"CTSG",-0.182474808476746,-0.182474808476746,1,"CTSG","Others",NA
"CTSO",0.148673102245536,0.148673102245536,1,"CTSO","Others",NA
"CTSZ",0.100616608320082,0.100616608320082,1,"CTSZ","Others",NA
"CUL1",0.115429817589242,0.115429817589242,1,"CUL1","Others",NA
"CUL3",-0.124811968724136,-0.124811968724136,1,"CUL3","Others",NA
"CUL4B",0.248882418130664,0.248882418130664,1,"CUL4B","Others",NA
"CUTA",0.196322115223897,0.196322115223897,1,"CUTA","Others",NA
"CUTC",-0.186046366028375,-0.186046366028375,1,"CUTC","Others",NA
"CUZD1",0.145985539886342,0.145985539886342,1,"CUZD1","Others",NA
"CWF19L1",-0.111160392770315,-0.111160392770315,1,"CWF19L1","Others",NA
"CXCL14",-0.173314082577462,-0.173314082577462,1,"CXCL14","Others",NA
"CXCL16",0.325243946609494,0.325243946609494,1,"CXCL16","Others",NA
"CXCL2",-0.168723640692988,-0.168723640692988,1,"CXCL2.3148.49","Others",NA
"CXCL3",-0.119365968714462,-0.119365968714462,1,"CXCL3.2986.49","Others",NA
"CXCL5",-0.119380855949696,-0.119380855949696,1,"CXCL5","Others",NA
"CXCL6",-0.110353747398985,-0.110353747398985,1,"CXCL6","Others",NA
"CYB561D1",-0.10649103549615,-0.10649103549615,1,"CYB561D1","Others",NA
"CYB5A",0.174817872020202,0.174817872020202,1,"CYB5A","Others",NA
"CYB5D2",0.209915540853376,0.209915540853376,1,"CYB5D2","Others",NA
"CYB5R3",-0.168752003703438,-0.168752003703438,1,"CYB5R3","Others",NA
"CYBC1",0.209830057408454,0.209830057408454,1,"CYBC1","Others",NA
"CYCS",0.324939968110294,0.324939968110294,1,"CYCS","Others",NA
"CYGB",0.240377427140467,0.240377427140467,1,"CYGB","Others",NA
"CYLD",0.0923371685614696,0.0923371685614696,1,"CYLD","Others",NA
"CYP3A4",0.186017232068108,0.186017232068108,1,"CYP3A4.2943.5","Others",NA
"CYRIA",-0.102648253271496,-0.102648253271496,1,"CYRIA","Others",NA
"CYRIB",0.356011152443331,0.356011152443331,1,"CYRIB","Others",NA
"CYSRT1",0.111620765081449,0.111620765081449,1,"CYSRT1","Others",NA
"CYTH4",0.0976123874293973,0.0976123874293973,1,"CYTH4","Others",NA
"DAG1",0.266687697580618,0.266687697580618,1,"DAG1.23176.17","Others",NA
"DAP",-0.195366255585673,-0.195366255585673,1,"DAP","Others",NA
"DAPK1",-0.185803682423975,-0.185803682423975,1,"DAPK1","Others",NA
"DAPK2",-0.0957366759047404,-0.0957366759047404,1,"DAPK2","Others",NA
"DARS2",-0.102113282103141,-0.102113282103141,1,"DARS2","Others",NA
"DAZAP1",-0.159814073602871,-0.159814073602871,1,"DAZAP1","Others",NA
"DBI",0.256066685566668,0.256066685566668,1,"DBI","Others",NA
"DBNDD1",0.197721952177038,0.197721952177038,1,"DBNDD1","Others",NA
"DBNDD2",0.292056336085599,0.292056336085599,1,"DBNDD2","Others",NA
"DBNL",0.151652933199103,0.151652933199103,1,"DBNL","Others",NA
"DBT",-0.131955320478331,-0.131955320478331,1,"DBT","Others",NA
"DCAF12",0.15731650964301,0.15731650964301,1,"DCAF12","Others",NA
"DCBLD1",-0.108653895503989,-0.108653895503989,1,"DCBLD1","Others",NA
"DCC",0.22658270900484,0.22658270900484,1,"DCC","Others",NA
"DCK",-0.161540862413846,-0.161540862413846,1,"DCK","Others",NA
"DCLK1",0.523354359113002,0.523354359113002,1,"DCLK1","Others",NA
"DCLK3",0.110387256440294,0.110387256440294,1,"DCLK3","Others",NA
"DCP1A",0.100845767464953,0.100845767464953,1,"DCP1A","Others",NA
"DCPS",0.11837517872908,0.11837517872908,1,"DCPS","Others",NA
"DCTD",0.13347472869462,0.13347472869462,1,"DCTD","Others",NA
"DCTPP1",0.13786806508875,0.13786806508875,1,"DCTPP1","Others",NA
"DCUN1D1",0.148064969300312,0.148064969300312,1,"DCUN1D1","Others",NA
"DCUN1D3",0.102764049332742,0.102764049332742,1,"DCUN1D3","Others",NA
"DDAH1",0.496329345983801,0.496329345983801,1,"DDAH1","Others",NA
"DDHD2",0.292734667828077,0.292734667828077,1,"DDHD2","Others",NA
"DDOST",0.269022688806789,0.269022688806789,1,"DDOST","Others",NA
"DDR1",0.121150620602404,0.121150620602404,1,"DDR1.11836.144","Others",NA
"DDR2",0.217028502706796,0.217028502706796,1,"DDR2","Others",NA
"DDRGK1",0.280485624523231,0.280485624523231,1,"DDRGK1","Others",NA
"DDX1",-0.113998063376583,-0.113998063376583,1,"DDX1","Others",NA
"DDX19A",-0.157702884583778,-0.157702884583778,1,"DDX19A","Others",NA
"DDX19B",-0.154871932130639,-0.154871932130639,1,"DDX19B","Others",NA
"DEAF1",0.219384368417452,0.219384368417452,1,"DEAF1","Others",NA
"DEFA1",-0.189786163208259,-0.189786163208259,1,"DEFA1.9250.87","Others",NA
"DEFA3",-0.117039113172535,-0.117039113172535,1,"DEFA3","Others",NA
"DEFA5",-0.20583740101545,-0.20583740101545,1,"DEFA5.6387.61","Others",NA
"DEFB110",-0.139875050487383,-0.139875050487383,1,"DEFB110","Others",NA
"DEFB115",-0.115890613409132,-0.115890613409132,1,"DEFB115","Others",NA
"DEFB125",-0.11238348513983,-0.11238348513983,1,"DEFB125","Others",NA
"DEFB129",-0.139771367983773,-0.139771367983773,1,"DEFB129","Others",NA
"DENND10",0.218457230141285,0.218457230141285,1,"DENND10","Others",NA
"DEPP1",-0.136472112308984,-0.136472112308984,1,"DEPP1","Others",NA
"DES",-0.107703690496421,-0.107703690496421,1,"DES","Others",NA
"DFFA",0.178567618187816,0.178567618187816,1,"DFFA","Others",NA
"DGKB",0.115335193064071,0.115335193064071,1,"DGKB","Others",NA
"DHRS3",0.136101925727897,0.136101925727897,1,"DHRS3","Others",NA
"DHRS9",0.162777661753449,0.162777661753449,1,"DHRS9","Others",NA
"DHX8",-0.243906481856829,-0.243906481856829,1,"DHX8","Others",NA
"DHX9",-0.119807280848063,-0.119807280848063,1,"DHX9","Others",NA
"DIAPH1",0.178226966940601,0.178226966940601,1,"DIAPH1","Others",NA
"DIDO1",-0.129330705133943,-0.129330705133943,1,"DIDO1","Others",NA
"DIRAS3",0.0914618972498768,0.0914618972498768,1,"DIRAS3","Others",NA
"DKK2",0.129510393996342,0.129510393996342,2,"DKK2.6546.41","Others",NA
"DKK3",0.211971866752285,0.211971866752285,2,"DKK3.10746.24","Others",NA
"DKK4",0.163913192107488,0.163913192107488,2,"DKK4.22959.32","Others",NA
"DKKL1",-0.134568083224555,-0.134568083224555,1,"DKKL1.3644.5","Others",NA
"DLAT",0.096276675084912,0.096276675084912,1,"DLAT","Others",NA
"DLD",0.300374629438688,0.300374629438688,2,"DLD.15527.90","Others",NA
"DLG2",0.545986108214673,0.545986108214673,1,"DLG2","Synaptic Proteins",NA
"DLG4",0.469203212382189,0.469203212382189,1,"DLG4","Synaptic Proteins",NA
"DLGAP4",-0.0930758945942347,-0.0930758945942347,1,"DLGAP4","Others",NA
"DLK1",0.122225860152042,0.122225860152042,2,"DLK1.6373.54","Others",NA
"DLK2",0.271631128392173,0.271631128392173,1,"DLK2","Others",NA
"DLL1",0.278146083354334,0.278146083354334,2,"DLL1.5349.69","Others",NA
"DLL4",0.196746331079543,0.196746331079543,1,"DLL4","Others",NA
"DMBT1",-0.124822800698119,-0.124822800698119,1,"DMBT1","Others",NA
"DMKN",0.108654919247733,0.108654919247733,1,"DMKN.5963.9","Others",NA
"DMTN",0.107880863756834,0.107880863756834,1,"DMTN","Others",NA
"DNAI1",-0.0956389785577646,-0.0956389785577646,1,"DNAI1","Others",NA
"DNAJA2",0.118050260207992,0.118050260207992,1,"DNAJA2","Tau Folding/Stability",NA
"DNAJB11",0.320482139526286,0.320482139526286,1,"DNAJB11","Others",NA
"DNAJB12",0.259790949407498,0.259790949407498,1,"DNAJB12","Others",NA
"DNAJB14",0.362288573970881,0.362288573970881,1,"DNAJB14.8053.16","Others",NA
"DNAJB2",0.398628122177516,0.398628122177516,1,"DNAJB2","Others",NA
"DNAJB8",0.428021121955859,0.428021121955859,1,"DNAJB8","Others",NA
"DNAJB9",0.452588849778836,0.452588849778836,1,"DNAJB9","Others",NA
"DNAJC10",0.169601767310947,0.169601767310947,1,"DNAJC10","Others",NA
"DNAJC15",-0.118707726974455,-0.118707726974455,1,"DNAJC15","Others",NA
"DNAJC17",-0.238253612711839,-0.238253612711839,1,"DNAJC17","Others",NA
"DNAJC18",0.211204995452422,0.211204995452422,1,"DNAJC18","Others",NA
"DNAJC19",-0.23050695621155,-0.23050695621155,1,"DNAJC19","Others",NA
"DNAJC27",0.172944231281166,0.172944231281166,1,"DNAJC27","Others",NA
"DNAJC5B",0.430138809557216,0.430138809557216,1,"DNAJC5B","Others",NA
"DNASE1L2",0.194718921059013,0.194718921059013,1,"DNASE1L2","Others",NA
"DNASE2B",0.0897280400301198,0.0897280400301198,1,"DNASE2B","Others",NA
"DNER",0.274061156387265,0.274061156387265,1,"DNER.9769.48","Others",NA
"DNM1",0.395051043757419,0.395051043757419,1,"DNM1","Cytoskeleton / Axonal Transport",NA
"DNM2",0.315079663156776,0.315079663156776,1,"DNM2","Cytoskeleton / Axonal Transport",NA
"DNPEP",-0.0933029885706405,-0.0933029885706405,1,"DNPEP","Others",NA
"DNPH1",-0.170020278714708,-0.170020278714708,1,"DNPH1","Others",NA
"DOC2B",0.479473717570643,0.479473717570643,1,"DOC2B","Others",NA
"DOCK2",0.088264764178421,0.088264764178421,1,"DOCK2","Others",NA
"DOK1",-0.194014890816255,-0.194014890816255,1,"DOK1","Others",NA
"DOK2",-0.244453573386361,-0.244453573386361,1,"DOK2.19578.19","Others",NA
"DOT1L",0.185456393001488,0.185456393001488,1,"DOT1L","Others",NA
"DPEP2",0.207314133944123,0.207314133944123,1,"DPEP2","Others",NA
"DPH7",0.112684270875661,0.112684270875661,1,"DPH7","Others",NA
"DPY30",0.283282784703966,0.283282784703966,1,"DPY30","Others",NA
"DPYSL3",0.131346303625597,0.131346303625597,1,"DPYSL3","Others",NA
"DPYSL5",0.163135107553077,0.163135107553077,1,"DPYSL5","Others",NA
"DRAP1",-0.227791931916587,-0.227791931916587,1,"DRAP1","Others",NA
"DRAXIN",0.209969868684949,0.209969868684949,1,"DRAXIN","Others",NA
"DSC1",0.110407914721927,0.110407914721927,1,"DSC1","Others",NA
"DSC2",0.285424873303053,0.285424873303053,1,"DSC2","Others",NA
"DSCAM",0.297360863314011,0.297360863314011,1,"DSCAM","Others",NA
"DSCAML1",0.248810946096464,0.248810946096464,1,"DSCAML1","Others",NA
"DSG2",0.142868172614994,0.142868172614994,2,"DSG2.20517.1","Others",NA
"DSG3",0.0263793836739307,0.0263793836739307,2,"DSG3.16317.20","Others",NA
"DSTN",0.20818411717844,0.20818411717844,2,"DSTN.18883.4","Others",NA
"DTD1",0.473533228582967,0.473533228582967,1,"DTD1","Others",NA
"DTD2",0.314942945007595,0.314942945007595,1,"DTD2","Others",NA
"DTNA",0.207488173490767,0.207488173490767,2,"DTNA.25087.11","Others",NA
"DTX3L",-0.23521410829988,-0.23521410829988,1,"DTX3L","Others",NA
"DUSP10",0.193452765909587,0.193452765909587,1,"DUSP10","Others",NA
"DUSP13",-0.125532250732628,-0.125532250732628,1,"DUSP13","Others",NA
"DUSP21",0.186254223861434,0.186254223861434,1,"DUSP21","Others",NA
"DUSP26",0.224128883487197,0.224128883487197,1,"DUSP26","Others",NA
"DUSP6",-0.181179823009113,-0.181179823009113,1,"DUSP6","Tau Phosphatases",NA
"DUT",0.261040968488868,0.261040968488868,1,"DUT","Others",NA
"DVL2",0.114874815934973,0.114874815934973,1,"DVL2","Others",NA
"DYNC1LI1",0.144954659039904,0.144954659039904,1,"DYNC1LI1","Cytoskeleton / Axonal Transport",NA
"DYNLL2",0.352637746497365,0.352637746497365,1,"DYNLL2","Cytoskeleton / Axonal Transport",NA
"DYNLRB2",0.224621735579762,0.224621735579762,1,"DYNLRB2","Others",NA
"DYNLT1",-0.239127694937018,-0.239127694937018,1,"DYNLT1","Others",NA
"DYRK1A",0.202008164622452,0.202008164622452,1,"DYRK1A","Tau Kinases",NA
"EBAG9",0.205536383454385,0.205536383454385,1,"EBAG9.19802.22","Others",NA
"EBI3",0.0962371275847112,0.0962371275847112,1,"EBI3","Others",NA
"ECH1",0.0939582162616418,0.0939582162616418,1,"ECH1","Others",NA
"ECI1",0.214945413484141,0.214945413484141,1,"ECI1","Others",NA
"ECM1",0.173434778164642,0.173434778164642,1,"ECM1","Others",NA
"ECRG4",-0.145773788920994,-0.145773788920994,1,"ECRG4","Others",NA
"EDA",0.172317202999513,0.172317202999513,1,"EDA.2826.53","Others",NA
"EDA2R",0.294252672589487,0.294252672589487,1,"EDA2R","Others",NA
"EDC4",0.129125692260563,0.129125692260563,1,"EDC4","Others",NA
"EDDM3A",0.09337971070829,0.09337971070829,1,"EDDM3A","Others",NA
"EDDM3B",-0.0972075216686793,-0.0972075216686793,1,"EDDM3B","Others",NA
"EDF1",-0.177911145764754,-0.177911145764754,1,"EDF1","Others",NA
"EED",-0.0968274541352876,-0.0968274541352876,1,"EED","Others",NA
"EEF1D",0.0926881526721863,0.0926881526721863,1,"EEF1D","Others",NA
"EEF1E1",-0.0993124115370277,-0.0993124115370277,1,"EEF1E1","Others",NA
"EEF1G",-0.148024775591274,-0.148024775591274,1,"EEF1G","Others",NA
"EFCAB14",0.186854996788207,0.186854996788207,1,"EFCAB14.9514.46","Others",NA
"EFEMP1",-0.0887375884592779,-0.0887375884592779,1,"EFEMP1","Others",NA
"EFHD1",0.261355707291134,0.261355707291134,1,"EFHD1","Others",NA
"EFHD2",0.467187421257338,0.467187421257338,1,"EFHD2","Others",NA
"EFNA1",0.157490146371324,0.157490146371324,1,"EFNA1","Others",NA
"EFNA2",0.243103792966892,0.243103792966892,2,"EFNA2.10801.11","Others",NA
"EFNA3",0.235373832209933,0.235373832209933,2,"EFNA3.5759.10","Others",NA
"EFNA4",0.19306349856884,0.19306349856884,2,"EFNA4.2614.28","Others",NA
"EFNA5",0.247263327283544,0.247263327283544,1,"EFNA5","Others",NA
"EFNB1",0.247068186703317,0.247068186703317,2,"EFNB1.13104.32","Others",NA
"EFNB2",0.300328364738904,0.300328364738904,1,"EFNB2.14131.37","Others",NA
"EFNB3",0.347872078969661,0.347872078969661,1,"EFNB3.2514.65","Others",NA
"EFS",-0.280594894492064,-0.280594894492064,1,"EFS","Others",NA
"EGF",0.290923849967631,0.290923849967631,1,"EGF.5509.7","Others",NA
"EGFL6",0.151283379277449,0.151283379277449,1,"EGFL6","Others",NA
"EGFLAM",0.157739672197451,0.157739672197451,1,"EGFLAM","Others",NA
"EGFR",0.209755104594806,0.209755104594806,1,"EGFR.2677.1","Growth Factor Signaling",NA
"EGLN1",-0.271504383134895,-0.271504383134895,1,"EGLN1","Others",NA
"EHBP1",0.110379313272068,0.110379313272068,1,"EHBP1","Others",NA
"EHD1",0.299529960550966,0.299529960550966,1,"EHD1","Others",NA
"EHD2",0.213775269398689,0.213775269398689,1,"EHD2","Others",NA
"EHD3",0.429453912624684,0.429453912624684,1,"EHD3","Others",NA
"EIF1AD",0.188093955798379,0.188093955798379,1,"EIF1AD","Others",NA
"EIF2A",-0.0937949600223965,-0.0937949600223965,1,"EIF2A.25105.87","Others",NA
"EIF2B1",-0.213505771354208,-0.213505771354208,1,"EIF2B1","Others",NA
"EIF2S2",-0.256464922851164,-0.256464922851164,1,"EIF2S2","Others",NA
"EIF3G",0.231262887204551,0.231262887204551,1,"EIF3G","Others",NA
"EIF3M",0.125164024199802,0.125164024199802,1,"EIF3M","Others",NA
"EIF4A1",0.126608298648319,0.126608298648319,1,"EIF4A1","Others",NA
"EIF4A2",0.208244649154633,0.208244649154633,2,"EIF4A2.18824.7","Others",NA
"EIF4A3",-0.134337353244177,-0.134337353244177,1,"EIF4A3","Others",NA
"EIF4B",0.44790783813437,0.44790783813437,1,"EIF4B","Others",NA
"EIF4EBP2",0.290896511678209,0.290896511678209,1,"EIF4EBP2.20117.5","Others",NA
"EIF4EBP3",0.123968108736248,0.123968108736248,1,"EIF4EBP3","Others",NA
"EIF4G1",0.109389361280381,0.109389361280381,1,"EIF4G1","Others",NA
"EIF4G2",0.440944955303512,0.440944955303512,1,"EIF4G2","Others",NA
"EIF4H",0.265832965114541,0.265832965114541,1,"EIF4H","Others",NA
"ELAC1",-0.0989283141520813,-0.0989283141520813,1,"ELAC1","Others",NA
"ELAPOR1",0.172698946586955,0.172698946586955,1,"ELAPOR1.10637.50","Others",NA
"ELAVL1",-0.184710565799776,-0.184710565799776,1,"ELAVL1","Others",NA
"ELAVL2",0.522618799628637,0.522618799628637,1,"ELAVL2","Others",NA
"ELFN2",0.242541835639371,0.242541835639371,1,"ELFN2","Others",NA
"ELK1",-0.183282056308199,-0.183282056308199,1,"ELK1","Others",NA
"ELK3",-0.135454055022465,-0.135454055022465,1,"ELK3","Others",NA
"ELK4",0.257004822081632,0.257004822081632,1,"ELK4","Others",NA
"ELL2",-0.160254517827072,-0.160254517827072,1,"ELL2","Others",NA
"ELL3",0.104808117321543,0.104808117321543,1,"ELL3","Others",NA
"ELMO1",-0.106120213862465,-0.106120213862465,1,"ELMO1","Others",NA
"ELP1",-0.233601924015998,-0.233601924015998,1,"ELP1","Others",NA
"EMC10",0.32445280332481,0.32445280332481,1,"EMC10","Others",NA
"EMC4",0.223965069623357,0.223965069623357,1,"EMC4","Others",NA
"EMILIN3",0.0960834498134495,0.0960834498134495,1,"EMILIN3.8773.172","Others",NA
"EML2",-0.190695806027805,-0.190695806027805,1,"EML2","Others",NA
"ENAH",0.380529701759281,0.380529701759281,1,"ENAH","Others",NA
"ENDOU",0.121499343498839,0.121499343498839,1,"ENDOU","Others",NA
"ENG",0.172114969063656,0.172114969063656,1,"ENG","Others",NA
"ENO1",0.273266661642359,0.273266661642359,1,"ENO1","Metabolism",NA
"ENO2",0.327486381549059,0.327486381549059,2,"ENO2.10339.48","Metabolism",NA
"ENO3",0.101196210720307,0.101196210720307,1,"ENO3","Others",NA
"ENPP2",-0.136926774534723,-0.136926774534723,1,"ENPP2","Others",NA
"ENPP5",0.275451678488351,0.275451678488351,1,"ENPP5","Others",NA
"ENPP6",0.105762692759955,0.105762692759955,1,"ENPP6","Others",NA
"ENSA",-0.107057265548464,-0.107057265548464,1,"ENSA","Others",NA
"ENTPD1",0.27636506174389,0.27636506174389,2,"ENTPD1.3182.38","Others",NA
"ENTPD5",-0.160327807023027,-0.160327807023027,1,"ENTPD5","Others",NA
"ENTPD6",0.217654413429095,0.217654413429095,1,"ENTPD6","Others",NA
"EOLA1",0.131783490153191,0.131783490153191,1,"EOLA1","Others",NA
"EPB41L1",-0.141413993137668,-0.141413993137668,1,"EPB41L1","Others",NA
"EPHA10",0.243514801158648,0.243514801158648,2,"EPHA10.5076.53","Others",NA
"EPHA2",0.199312639705203,0.199312639705203,1,"EPHA2","Others",NA
"EPHA3",0.345373524735927,0.345373524735927,1,"EPHA3","Others",NA
"EPHA4",0.209190778838911,0.209190778838911,2,"EPHA4.7190.50","Others",NA
"EPHA5",0.235506355844686,0.235506355844686,1,"EPHA5","Others",NA
"EPHA6",0.305159191163834,0.305159191163834,1,"EPHA6","Others",NA
"EPHA7",0.290383327164235,0.290383327164235,2,"EPHA7.15580.2","Others",NA
"EPHA8",0.0922727755158558,0.0922727755158558,1,"EPHA8","Others",NA
"EPHB1",0.253285491647973,0.253285491647973,1,"EPHB1","Others",NA
"EPHB2",0.269868618504668,0.269868618504668,2,"EPHB2.8348.4","Others",NA
"EPHB3",0.267685156318941,0.267685156318941,1,"EPHB3","Others",NA
"EPHB4",0.236801579092107,0.236801579092107,1,"EPHB4","Others",NA
"EPHB6",0.313689214741376,0.313689214741376,2,"EPHB6.9261.14","Others",NA
"EPN1",0.389017281121046,0.389017281121046,1,"EPN1","Others",NA
"EPS15L1",0.188543503325378,0.188543503325378,1,"EPS15L1","Others",NA
"EPS8L2",0.23988290965077,0.23988290965077,1,"EPS8L2","Others",NA
"ERAP2",0.134748338795436,0.134748338795436,1,"ERAP2","Others",NA
"ERBB2",-0.210025435404574,-0.210025435404574,1,"ERBB2","Growth Factor Signaling",NA
"ERBB3",0.227177446400357,0.227177446400357,1,"ERBB3","Growth Factor Signaling",NA
"ERBB4",0.120911262074363,0.120911262074363,1,"ERBB4","Growth Factor Signaling",NA
"ERLEC1",0.298909593956735,0.298909593956735,1,"ERLEC1","Others",NA
"ERO1A",0.108800274206959,0.108800274206959,1,"ERO1A","Others",NA
"ERP44",0.262525772486392,0.262525772486392,1,"ERP44","Others",NA
"ESAM",0.299639200364506,0.297503323832996,3,"ESAM.2981.9","Others",NA
"ESD",0.22727776660443,0.22727776660443,1,"ESD","Others",NA
"ESPN",0.199782617692683,0.199782617692683,1,"ESPN","Others",NA
"ESS2",-0.130289816325015,-0.130289816325015,1,"ESS2","Others",NA
"ETFA",-0.0908280420073353,-0.0908280420073353,1,"ETFA","Others",NA
"ETNK2",0.0989093735600337,0.0989093735600337,1,"ETNK2","Others",NA
"ETS2",0.16879414638829,0.16879414638829,1,"ETS2","Others",NA
"ETV2",-0.1633867533815,-0.1633867533815,1,"ETV2","Others",NA
"ETV4",-0.118240163085622,-0.118240163085622,1,"ETV4","Others",NA
"EVA1C",0.166319818829579,0.166319818829579,2,"EVA1C.8877.22","Others",NA
"EVL",0.28857633298045,0.28857633298045,1,"EVL","Others",NA
"EWSR1",0.257583281863804,0.257583281863804,1,"EWSR1","Others",NA
"EXOSC5",-0.191980048733539,-0.191980048733539,1,"EXOSC5","Others",NA
"EXOSC8",-0.0985532153068132,-0.0985532153068132,1,"EXOSC8","Others",NA
"EXTL2",0.141244797679261,0.141244797679261,1,"EXTL2","Others",NA
"EYA2",0.32160379521199,0.32160379521199,1,"EYA2","Others",NA
"EZR",0.259539222666318,0.259539222666318,1,"EZR","Others",NA
"F5",-0.121736493307592,-0.121736493307592,1,"F5","Others",NA
"FAAH2",0.184518937135921,0.184518937135921,1,"FAAH2","Others",NA
"FABP1",-0.17501984689904,-0.17501984689904,1,"FABP1","Others",NA
"FABP3",0.335307274125523,0.335307274125523,2,"FABP3.4696.2","Others",NA
"FABP4",-0.0980285813258178,-0.0980285813258178,1,"FABP4.15386.7","Others",NA
"FABP9",0.0961967959630093,0.0961967959630093,1,"FABP9","Others",NA
"FADD",0.154313140525994,0.154313140525994,1,"FADD","Others",NA
"FAF2",0.442034275591582,0.442034275591582,1,"FAF2","Others",NA
"FAH",0.109099676429322,0.109099676429322,1,"FAH","Others",NA
"FAHD1",0.129172597322039,0.129172597322039,1,"FAHD1","Others",NA
"FAHD2A",0.182204909143586,0.182204909143586,1,"FAHD2A","Others",NA
"FAM107A",0.107270755925927,0.107270755925927,1,"FAM107A","Others",NA
"FAM110A",-0.147063875188388,-0.147063875188388,1,"FAM110A.23783.22","Others",NA
"FAM151A",-0.0921539551133521,-0.0921539551133521,1,"FAM151A","Others",NA
"FAM163B",0.242520824145971,0.242520824145971,1,"FAM163B","Others",NA
"FAM171A1",0.128135871685562,0.128135871685562,1,"FAM171A1","Others",NA
"FAM171B",0.17602606589954,0.17602606589954,2,"FAM171B.8786.6","Others",NA
"FAM177A1",0.219776799925414,0.219776799925414,1,"FAM177A1","Others",NA
"FAM189A2",0.0975477052959292,0.0975477052959292,2,"FAM189A2.5699.19","Others",NA
"FAM209B",0.173067782413858,0.173067782413858,1,"FAM209B","Others",NA
"FAM20B",0.270516708738571,0.270516708738571,1,"FAM20B","Others",NA
"FAM20C",0.266668897189283,0.266668897189283,2,"FAM20C.21547.6","Others",NA
"FAM219B",0.197562102831747,0.197562102831747,1,"FAM219B","Others",NA
"FAM221A",0.260750597558393,0.260750597558393,1,"FAM221A","Others",NA
"FAM234B",0.235478038095186,0.235478038095186,1,"FAM234B.9981.18","Others",NA
"FAM241B",0.199423304628182,0.199423304628182,1,"FAM241B","Others",NA
"FAM3A",-0.098934029915301,-0.098934029915301,1,"FAM3A","Others",NA
"FAM86B1",0.227642185836176,0.227642185836176,1,"FAM86B1","Others",NA
"FAM9B",0.198040440609139,0.198040440609139,1,"FAM9B","Others",NA
"FARS2",-0.272645696883664,-0.272645696883664,1,"FARS2","Others",NA
"FAS",0.198670831432892,0.185268044552039,4,"FAS.5392.73","Others",NA
"FASLG",0.126228690768301,0.126228690768301,1,"FASLG","Others",NA
"FATE1",-0.097928100029487,-0.097928100029487,1,"FATE1","Others",NA
