"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"ARHGAP30",0.288618823927657,0.288618823927657,1,"ARHGAP30","Others",NA
"ARHGAP45",-0.180428504796123,-0.180428504796123,1,"ARHGAP45","Others",NA
"ARHGAP5",0.220772757078116,0.220772757078116,1,"ARHGAP5","Others",NA
"ARHGDIA",-0.094143774822657,-0.094143774822657,1,"ARHGDIA","Others",NA
"ARHGDIB",0.203581473247059,0.203581473247059,1,"ARHGDIB","Others",NA
"ARHGEF1",-0.183530720992155,-0.183530720992155,1,"ARHGEF1","Others",NA
"ARHGEF10",0.208435973074775,0.208435973074775,1,"ARHGEF10","Others",NA
"ARHGEF2",-0.203015563831152,-0.203015563831152,1,"ARHGEF2","Others",NA
"ARHGEF25",0.116023183281789,0.116023183281789,1,"ARHGEF25","Others",NA
"ARID1A",-0.136871331517016,-0.136871331517016,1,"ARID1A","Others",NA
"ARID3A",-0.0928979711870316,-0.0928979711870316,1,"ARID3A","Others",NA
"ARID3C",-0.184389394693277,-0.184389394693277,1,"ARID3C","Others",NA
"ARL11",0.206995344731719,0.206995344731719,1,"ARL11","Others",NA
"ARL15",0.199411021043267,0.199411021043267,1,"ARL15","Others",NA
"ARL2BP",0.116768407954089,0.116768407954089,1,"ARL2BP","Others",NA
"ARL4D",0.167588709739319,0.167588709739319,1,"ARL4D","Others",NA
"ARL5A",-0.143080636318717,-0.143080636318717,1,"ARL5A","Others",NA
"ARL5B",-0.14612562678099,-0.14612562678099,1,"ARL5B","Others",NA
"ARL6IP5",-0.235319064045904,-0.235319064045904,1,"ARL6IP5","Others",NA
"ARMC10",0.0905711183282036,0.0905711183282036,1,"ARMC10","Others",NA
"ARMC5",0.132913915722044,0.132913915722044,1,"ARMC5.8785.1","Others",NA
"ARPC1B",0.136951091175765,0.136951091175765,1,"ARPC1B","Others",NA
"ARRB1",0.0925607210451743,0.0925607210451743,1,"ARRB1","Others",NA
"ART3",0.270032901945464,0.270032901945464,2,"ART3.10970.3","Others",NA
"ART4",0.168673422001323,0.168673422001323,1,"ART4","Others",NA
"ARTN",0.115831972199724,0.115831972199724,1,"ARTN","Others",NA
"ASAH1",-0.209124485995962,-0.209124485995962,1,"ASAH1","Others",NA
