"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module","Source","Module_Size","tau_related"
"GO:0033044","regulation of chromosome organization","23/178","244/18860",0.0942622950819672,9.98756677104439,13.7927703566132,1.12894814662549e-16,3.29539963999981e-13,2.63698519722312e-13,"TP53/XRCC1/RB1/YY1/PLK1/AURKB/BUB1/CHFR/BIRC5/AXIN2/CUL3/TNKS/HDAC8/CCNB1/PNKP/MAD1L1/PBRM1/ZWINT/TINF2/MAD2L1/NDC80/MAD2L1BP/RUVBL1",23,5,"GO_BP",180,FALSE
"GO:1905818","regulation of chromosome separation","14/178","76/18860",0.184210526315789,19.5180366646954,15.7893896923004,1.09642697737312e-14,1.60023517347606e-11,1.28051129620576e-11,"CSNK2A1/RB1/PLK1/AURKB/BUB1/CHFR/BIRC5/CUL3/CCNB1/MAD1L1/ZWINT/MAD2L1/NDC80/MAD2L1BP",14,5,"GO_BP",180,FALSE
"GO:0051304","chromosome separation","14/178","83/18860",0.168674698795181,17.87193718695,15.0365616928814,3.98508041567689e-14,3.87748324445361e-11,3.10276962890773e-11,"CSNK2A1/RB1/PLK1/AURKB/BUB1/CHFR/BIRC5/CUL3/CCNB1/MAD1L1/ZWINT/MAD2L1/NDC80/MAD2L1BP",14,5,"GO_BP",180,FALSE
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","14/178","95/18860",0.147368421052632,15.6144293317564,13.9388526586514,2.79246726772199e-13,1.83343623059999e-10,1.46711923539113e-10,"RB1/PLK1/AURKB/BUB1/CHFR/BIRC5/CUL3/CCNB1/MAD1L1/PBRM1/ZWINT/MAD2L1/NDC80/MAD2L1BP",14,5,"GO_BP",180,FALSE
"GO:2001251","negative regulation of chromosome organization","14/178","97/18860",0.144329896907216,15.2924823352253,13.7752674492206,3.75879766363038e-13,1.83343623059999e-10,1.46711923539113e-10,"TP53/XRCC1/PLK1/AURKB/BUB1/BIRC5/TNKS/CCNB1/MAD1L1/ZWINT/TINF2/MAD2L1/NDC80/MAD2L1BP",14,5,"GO_BP",180,FALSE
"GO:0010965","regulation of mitotic sister chromatid separation","12/178","61/18860",0.19672131147541,20.8436176091361,15.152212088224,4.00679275615935e-13,1.83343623059999e-10,1.46711923539113e-10,"RB1/PLK1/AURKB/BUB1/BIRC5/CUL3/CCNB1/MAD1L1/ZWINT/MAD2L1/NDC80/MAD2L1BP",12,5,"GO_BP",180,FALSE
"GO:0007059","chromosome segregation","25/178","434/18860",0.0576036866359447,6.10340185367369,10.4989712366162,4.44126348957725e-13,1.83343623059999e-10,1.46711923539113e-10,"CSNK2A1/UBE2I/RB1/PLK1/AURKB/BUB1/CHFR/BIRC5/CUL3/TNKS/NUDC/CCNB1/PRC1/TOP1/MAD1L1/PBRM1/KIF22/ZWINT/BEX4/MAPRE2/MAD2L1/NDC80/MAPRE3/MAD2L1BP/SRPK1",25,5,"GO_BP",180,FALSE
"GO:0044784","metaphase/anaphase transition of cell cycle","14/178","99/18860",0.141414141414141,14.98354329815,13.6164684651092,5.02483379403902e-13,1.83343623059999e-10,1.46711923539113e-10,"RB1/PLK1/AURKB/BUB1/CHFR/BIRC5/CUL3/CCNB1/MAD1L1/PBRM1/ZWINT/MAD2L1/NDC80/MAD2L1BP",14,5,"GO_BP",180,FALSE
"GO:0051306","mitotic sister chromatid separation","12/178","64/18860",0.1875,19.8665730337079,14.7573350456104,7.37107123160754e-13,2.39068410278471e-10,1.9130300658406e-10,"RB1/PLK1/AURKB/BUB1/BIRC5/CUL3/CCNB1/MAD1L1/ZWINT/MAD2L1/NDC80/MAD2L1BP",12,5,"GO_BP",180,FALSE
"GO:0031577","spindle checkpoint signaling","11/178","49/18860",0.224489795918367,23.7858289383169,15.5888679585596,8.2773190705984e-13,2.41614943670767e-10,1.93340747554293e-10,"PLK1/AURKB/BUB1/CHFR/BIRC5/CCNB1/MAD1L1/ZWINT/MAD2L1/NDC80/MAD2L1BP",11,5,"GO_BP",180,FALSE
"GO:0050900","leukocyte migration","40/214","397/18860",0.100755667506297,8.87968172508769,16.9991094998304,1.83133163966957e-26,6.06720172222529e-23,3.90748340380023e-23,"SPI1/CD74/MMP14/LEP/PTN/SELPLG/CALR/S100A8/CTSG/THBS1/MIF/PLG/C3/S100A9/ICAM1/ITGAL/C1QBP/PRTN3/ITGA6/ITGB2/CD177/SAA1/BSG/SELE/SFTPD/VCAM1/S100A12/CXCL12/PPIA/SELP/THBS4/TNFAIP6/TREM2/LGMN/P4HB/C5/SPN/ADGRE2/CCL7/CXCL5",40,6,"GO_BP",215,FALSE
"GO:0006898","receptor-mediated endocytosis","30/214","279/18860",0.10752688172043,9.47643452919305,15.2810835022456,8.69268395176209e-21,1.43994309660939e-17,9.27372124748513e-18,"ADM/CLU/LRP1/RABEPK/C3/ITGAM/APOE/APOA5/HSPG2/ITGB2/FCER2/SELE/SFTPD/VTN/PCSK9/CD14/TF/APOC1/CD63/STAB1/CD36/MSR1/RAMP1/IGF2R/LRP2/VLDLR/STAB2/SCARF1/ASGR1/TFRC",30,6,"GO_BP",215,FALSE
"GO:0006935","chemotaxis","36/214","474/18860",0.0759493670886076,6.6934816041642,13.4492120705104,1.05658613988371e-19,1.0052238509798e-16,6.47398206725039e-17,"HDAC6/SPI1/CD74/PTN/CALR/S100A8/CTSG/THBS1/MIF/C3/S100A9/C1QBP/PLAUR/ITGB2/SAA1/BSG/SFTPD/RNASE2/VCAM1/S100A12/CCN1/CXCL12/PPIA/GPNMB/HMGB2/SERPIND1/THBS4/TNFAIP6/TREM2/F3/LGMN/C5/SPN/ADGRE2/CCL7/CXCL5",36,6,"GO_BP",215,FALSE
"GO:0042330","taxis","36/214","476/18860",0.0756302521008403,6.6653577318778,13.4117109747859,1.21367202050081e-19,1.0052238509798e-16,6.47398206725039e-17,"HDAC6/SPI1/CD74/PTN/CALR/S100A8/CTSG/THBS1/MIF/C3/S100A9/C1QBP/PLAUR/ITGB2/SAA1/BSG/SFTPD/RNASE2/VCAM1/S100A12/CCN1/CXCL12/PPIA/GPNMB/HMGB2/SERPIND1/THBS4/TNFAIP6/TREM2/F3/LGMN/C5/SPN/ADGRE2/CCL7/CXCL5",36,6,"GO_BP",215,FALSE
"GO:0007596","blood coagulation","27/214","243/18860",0.111111111111111,9.79231568016615,14.7783156038278,3.65273135125957e-19,2.42029979334459e-16,1.5587550418954e-16,"CTSG/THBS1/FGG/F2/F10/PLG/PROC/SERPINC1/TFPI/APOE/PLAUR/SAA1/SERPING1/VWF/VTN/KNG1/CD40LG/SERPINE2/PPIA/HGFAC/SELP/SERPIND1/F3/CD36/F5/APOH/PROCR",27,6,"GO_BP",215,FALSE
"GO:0050817","coagulation","27/214","248/18860",0.108870967741935,9.59488996080796,14.5963079119886,6.22323214622671e-19,3.43626135007485e-16,2.21306869480729e-16,"CTSG/THBS1/FGG/F2/F10/PLG/PROC/SERPINC1/TFPI/APOE/PLAUR/SAA1/SERPING1/VWF/VTN/KNG1/CD40LG/SERPINE2/PPIA/HGFAC/SELP/SERPIND1/F3/CD36/F5/APOH/PROCR",27,6,"GO_BP",215,FALSE
"GO:0007599","hemostasis","27/214","250/18860",0.108,9.5181308411215,14.5249451630248,7.67485166614067e-19,3.63239765284629e-16,2.33938711688228e-16,"CTSG/THBS1/FGG/F2/F10/PLG/PROC/SERPINC1/TFPI/APOE/PLAUR/SAA1/SERPING1/VWF/VTN/KNG1/CD40LG/SERPINE2/PPIA/HGFAC/SELP/SERPIND1/F3/CD36/F5/APOH/PROCR",27,6,"GO_BP",215,FALSE
"GO:0042060","wound healing","34/214","453/18860",0.0750551876379691,6.61467681706587,12.9585298958829,1.76784273891904e-18,7.32107874254848e-16,4.71502267340644e-16,"IGF1/DDR1/CTSG/THBS1/FGG/F2/F10/PLG/PROC/SERPINC1/TIMP1/SCARB1/TFPI/APOE/PLAUR/ITGB5/SAA1/COL5A1/SERPING1/CD44/VWF/VTN/KNG1/CD40LG/SERPINE2/PPIA/HGFAC/SELP/SERPIND1/F3/CD36/F5/APOH/PROCR",34,6,"GO_BP",215,FALSE
"GO:0097529","myeloid leukocyte migration","26/214","237/18860",0.109704641350211,9.66836231712607,14.3866535015906,2.38698345834189e-18,8.78675133054076e-16,5.65896546205733e-16,"SPI1/CD74/MMP14/S100A8/CTSG/THBS1/MIF/S100A9/C1QBP/PRTN3/ITGB2/CD177/SAA1/BSG/SFTPD/S100A12/CXCL12/PPIA/THBS4/TNFAIP6/TREM2/LGMN/C5/ADGRE2/CCL7/CXCL5",26,6,"GO_BP",215,FALSE
"GO:0016485","protein processing","26/214","248/18860",0.104838709677419,9.23952366596322,13.9928056118138,7.44820912370522e-18,2.46759168268354e-15,1.58921262039479e-15,"FURIN/CTSS/MMP14/CTSG/THBS1/FGG/PLG/ACE/MBL2/FCN3/ADAM9/PLAUR/PCSK9/SERPINE2/SPON1/HGFAC/SRGN/F3/MMP16/CPE/ENPEP/LGMN/P4HB/APOH/ENO1/MASP1",26,6,"GO_BP",215,FALSE
"GO:0016055","Wnt signaling pathway","34/49","487/18860",0.0698151950718686,26.8717261031723,29.5223739146831,3.56162452023182e-43,5.28188916350378e-40,3.53163189269302e-40,"ROR2/LRP6/DKK1/NDP/FZD8/WNT3A/FZD4/RYK/WNT10B/RACK1/KREMEN1/KREMEN2/RSPO2/PTK7/RNF43/WNT5B/FZD1/FZD7/WNT11/FZD5/DVL2/WNT16/FZD2/DKK4/IGFBP4/DKK2/WIF1/RSPO1/DKK3/CTHRC1/RSPO3/SFRP1/RSPO4/FZD10",34,7,"GO_BP",50,TRUE
"GO:0060070","canonical Wnt signaling pathway","29/49","333/18860",0.0870870870870871,33.5196420910707,30.557424801762,8.69003236561047e-39,6.44365899910016e-36,4.30842657284477e-36,"LRP6/DKK1/NDP/FZD8/WNT3A/FZD4/RYK/WNT10B/KREMEN1/RSPO2/PTK7/WNT5B/FZD1/FZD7/WNT11/FZD5/DVL2/WNT16/FZD2/DKK4/IGFBP4/DKK2/RSPO1/DKK3/CTHRC1/RSPO3/SFRP1/RSPO4/FZD10",29,7,"GO_BP",50,TRUE
"GO:0035567","non-canonical Wnt signaling pathway","16/49","69/18860",0.231884057971014,89.2517006802721,37.4821169148549,4.82243463657479e-28,2.38389018868014e-25,1.59394155356261e-25,"DKK1/FZD8/WNT3A/FZD4/RYK/WNT5B/FZD1/FZD7/WNT11/FZD5/DVL2/FZD2/CTHRC1/RSPO3/SFRP1/FZD10",16,7,"GO_BP",50,TRUE
"GO:0030111","regulation of Wnt signaling pathway","22/49","356/18860",0.0617977528089888,23.7858289383169,22.1517708564511,1.92039211302919e-25,7.11985375905571e-23,4.76055097493025e-23,"DKK1/WNT3A/WNT10B/RACK1/KREMEN1/RSPO2/PTK7/RNF43/WNT5B/FZD1/FZD7/WNT11/DKK4/IGFBP4/DKK2/WIF1/RSPO1/DKK3/CTHRC1/RSPO3/SFRP1/RSPO4",22,7,"GO_BP",50,TRUE
"GO:0060828","regulation of canonical Wnt signaling pathway","19/49","278/18860",0.0683453237410072,26.3059756276611,21.6945518926851,1.0870982739312e-22,3.22433348047995e-20,2.15588752430146e-20,"DKK1/WNT3A/WNT10B/KREMEN1/RSPO2/PTK7/WNT5B/FZD1/FZD7/WNT11/DKK4/IGFBP4/DKK2/RSPO1/DKK3/CTHRC1/RSPO3/SFRP1/RSPO4",19,7,"GO_BP",50,TRUE
"GO:0030178","negative regulation of Wnt signaling pathway","14/49","185/18860",0.0756756756756757,29.1274131274131,19.6217066923833,2.32306562311911e-17,5.74184386514274e-15,3.83917160873369e-15,"DKK1/RACK1/KREMEN1/RNF43/WNT5B/FZD1/WNT11/DKK4/IGFBP4/DKK2/WIF1/DKK3/CTHRC1/SFRP1",14,7,"GO_BP",50,TRUE
"GO:0060071","Wnt signaling pathway, planar cell polarity pathway","9/49","47/18860",0.191489361702128,73.7038645245332,25.4699930160258,3.13497754697541e-15,6.64167386023505e-13,4.44082533721931e-13,"DKK1/RYK/FZD7/WNT11/DVL2/FZD2/CTHRC1/RSPO3/SFRP1",9,7,"GO_BP",50,TRUE
"GO:0090090","negative regulation of canonical Wnt signaling pathway","11/49","150/18860",0.0733333333333333,28.225850340136,17.0860478080335,1.24942064686019e-13,2.31611352411707e-11,1.5486240122925e-11,"DKK1/KREMEN1/WNT5B/FZD1/WNT11/DKK4/IGFBP4/DKK2/DKK3/CTHRC1/SFRP1",11,7,"GO_BP",50,TRUE
"GO:0030177","positive regulation of Wnt signaling pathway","11/49","156/18860",0.0705128205128205,27.1402407116693,16.7323162070703,1.93041719448922e-13,3.18089855491946e-11,2.12684561077058e-11,"DKK1/WNT3A/WNT10B/RSPO2/PTK7/WNT5B/DKK2/RSPO1/RSPO3/SFRP1/RSPO4",11,7,"GO_BP",50,TRUE
"GO:1904948","midbrain dopaminergic neuron differentiation","6/49","17/18860",0.352941176470588,135.846338535414,28.3883416844897,2.71197401354171e-12,4.02185746208236e-10,2.6891363376382e-10,"LRP6/DKK1/WNT3A/RYK/FZD1/SFRP1",6,7,"GO_BP",50,FALSE
