"Rank","Gene","PTAU_rho","Mean_Rho","Degree","Functional_Category","MAPT_Interactor","N_Proteins","Priority_Score"
738,"ICAM1",0.091987374652049,0.091987374652049,15,"Others",FALSE,1,0.255043157548717
739,"TGFB2",-0.178472174119207,-0.178472174119207,2,"Microglia / Immune",FALSE,1,0.254893240774477
740,"PPP4C",0.130636950461416,0.130636950461416,6,"Others",FALSE,1,0.254207767744506
741,"SIRT6",-0.157930965983946,-0.157930965983946,4,"Others",FALSE,1,0.254180084201902
742,"HNRNPH1",-0.183179648230756,-0.183179648230756,3,"Others",FALSE,1,0.253940913414223
743,"KIR3DL3",0.231078326581091,0.231078326581091,2,"Others",FALSE,2,0.25386548922685
744,"APAF1",0.115360247574378,0.115360247574378,8,"Others",FALSE,1,0.253472371218015
745,"CARD9",-0.157474342164175,-0.157474342164175,4,"Others",FALSE,1,0.253445176514643
746,"ARHGAP1",0.230591624546924,0.230591624546924,2,"Others",FALSE,2,0.253330792391194
747,"FKBP1A",0.365302143364777,0.365302143364777,1,"Others",FALSE,1,0.2532081507258
748,"CTSG",-0.182474808476746,-0.182474808476746,3,"Others",FALSE,1,0.252963798037744
749,"STAB2",-0.182451921780394,-0.182451921780394,3,"Others",FALSE,1,0.252932070339647
750,"ICAM4",-0.182426466318319,-0.182426466318319,3,"Others",FALSE,1,0.252896781576113
751,"TAX1BP3",0.229916232342066,0.229916232342066,2,"Others",FALSE,1,0.252588798215266
752,"TFPI",0.181659895943757,0.181659895943757,3,"Others",FALSE,1,0.251834089388457
753,"IFNLR1",0.140396287066645,0.140396287066645,5,"Others",FALSE,1,0.251556376796122
754,"MAX",-0.155938971135455,-0.155938971135455,4,"Others",FALSE,1,0.250974092171367
755,"TIMP1",0.13953323018682,0.13953323018682,5,"Others",FALSE,2,0.250009986459212
756,"GFRA3",-0.180262940929526,-0.180262940929526,3,"Others",FALSE,1,0.249897498529489
757,"YES1",-0.0973141624773335,-0.0973141624773335,12,"Others",FALSE,1,0.249605898518144
758,"MOB1A",-0.226987143648156,-0.226987143648156,2,"Others",FALSE,1,0.249370865381538
759,"RAB5A",-0.226716992677546,-0.226716992677546,2,"Others",FALSE,1,0.24907407420543
760,"SGK3",-0.103856387973612,-0.103856387973612,10,"Others",FALSE,1,0.249036741771838
761,"CD63",0.179071668918853,0.179071668918853,3,"Others",FALSE,1,0.248246044858534
762,"RNF43",-0.1273499017698,-0.1273499017698,6,"Others",FALSE,1,0.24781146633505
763,"BCL2L2",0.22538934797231,0.22538934797231,2,"Others",FALSE,1,0.247615507417273
764,"GSN",0.178498510020903,0.178498510020903,3,"Others",FALSE,1,0.24745147791028
765,"NMT1",-0.138077314366057,-0.138077314366057,5,"Others",FALSE,1,0.247401335500962
766,"SEMA4G",0.17828120584238,0.17828120584238,3,"Others",FALSE,1,0.247150230352946
767,"RIPK2",0.102809858111879,0.102809858111879,10,"Others",FALSE,1,0.246527272763546
768,"AHCYL1",-0.224372305771112,-0.224372305771112,2,"Others",FALSE,1,0.246498172356942
769,"RUNX3",-0.22417204916635,-0.22417204916635,2,"Others",FALSE,1,0.246278167990063
770,"AXIN2",-0.137439747608099,-0.137439747608099,5,"Others",FALSE,1,0.246258969225125
771,"ENO1",0.273266661642359,0.273266661642359,1,"Metabolism",FALSE,1,0.246238220875959
772,"S100A8",-0.117965585082583,-0.117965585082583,7,"Others",FALSE,2,0.24530253810929
