"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72187","mRNA 3'-end processing","36/2324","58/4190",0.620689655172414,1.1190575108315,1.01884486534303,0.188180304087978,0.457234743056534,0.37955819913144,"DHX9/PUF60/PCBP1/SRSF6/SNRPA/HNRNPM/HNRNPR/U2AF2/HNRNPH1/MAGOHB/SNRPB2/RBM17/SNRPD3/SMNDC1/POLR2K/SNRPG/POLR2I/POLR2E/POLR2F/GTF2F2/NUDT21/SF3B6/SNRPE/SNRPA1/PPP1R10/CSTF1/NCBP1/SRRT/RBM39/RPS27A/EIF4A3/SNRPF/UBC/UBB/PABPN1/THOC1",36
"R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","36/2324","58/4190",0.620689655172414,1.1190575108315,1.01884486534303,0.188180304087978,0.457234743056534,0.37955819913144,"LRP2/AGFG1/CBL/SH3GL2/ARRB1/DVL2/AP2A2/HGS/CLTC/COPS2/ITSN1/IGF2R/VAMP2/SH3GL3/UBQLN2/NECAP2/SYT1/EPN1/COPS5/AP2B1/REPS2/EGFR/GRK2/TF/EPS15L1/RPS27A/GRB2/EGF/UBC/UBB/TFRC/SYT11/CFTR/VAMP3/SYT9/BTC",36
"R-HSA-9013149","RAC1 GTPase cycle","36/2324","58/4190",0.620689655172414,1.1190575108315,1.01884486534303,0.188180304087978,0.457234743056534,0.37955819913144,"NCF2/TRIO/ARHGAP25/ARHGAP1/OPHN1/MPP7/ARHGAP30/ARHGEF25/ARHGAP45/SWAP70/RACGAP1/PAK4/AMIGO2/ARHGAP5/MCAM/BRK1/ABR/WAS/CHN1/CDC42EP4/ARHGAP26/SRGAP2/DOCK2/PKN2/ABL2/PAK6/EPHA2/JAG1/VAV1/ARHGDIA/TFRC/VAMP3/PIK3R1/ARHGEF10/VAV3/ARHGDIB",36
"R-HSA-421270","Cell-cell junction organization","58/2324","96/4190",0.604166666666667,1.08926778542742,0.987356252098042,0.188717296306182,0.457580222633608,0.379844987500221,"RPN1/PSMB6/CDH15/DNM2/PSMA7/PSMB5/PSMB1/ILF3/PSMA4/H2BC21/AGO3/RBBP4/JUP/CADM2/DDOST/PSMB3/PSMB4/HDAC2/PSMA5/PSMB2/CDH12/NECTIN1/EED/H2BC12/KLF9/PSMC3/PSMD6/CTNNA1/CLDN1/PSMC5/MAPK3/MAPK1/CADM1/PRKCI/CSNK2A1/CDH6/CADM3/CDH2/FYN/PSMA1/PSMD7/PSMA2/PCSK7/RPS27A/RB1/SRC/PRKCSH/UBC/NECTIN2/FURIN/UBB/CDH7/CTSB/PVR/CTNNB1/CDH11/TNRC6B/ARID1A",58
"R-HSA-199992","trans-Golgi Network Vesicle Budding","26/2324","41/4190",0.634146341463415,1.14331892028042,1.02906109857334,0.192306941291516,0.465310532269033,0.386262046677168,"STX4/TXNDC5/SORT1/DNM2/CLINT1/SH3GL2/ARRB1/AP1G2/HGS/CLTC/RAB5C/FTL/IGF2R/VAMP2/CHMP2A/SNX5/ARF1/BLOC1S6/AP1B1/FTH1/NAPA/CTSZ/HSPA8/TFRC/CPD/YIPF6",26
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","33/2324","53/4190",0.622641509433962,1.1225765596077,1.00212067994444,0.194476589903842,0.469579932705317,0.389806147307261,"NCF2/NRAS/PTK2B/AHCYL1/ELMO1/NCK2/AKT2/AKT1/JUP/BRK1/NOS3/THEM4/CTNNA1/VEGFA/HSP90AA1/PRKCZ/AKT3/KDR/FYN/MAPKAPK2/PDPK1/PLCG1/CRK/MAPK11/MAPK13/MAPK14/KRAS/VAV1/PRKCB/SRC/CTNNB1/PIK3R1/VAV3",33
"R-HSA-167242","Abortive elongation of HIV-1 transcript in the absence of Tat","8/2324","11/4190",0.727272727272727,1.31121890158035,1.1533033271426,0.199438410436087,0.47659611895964,0.395630400734854,"POLR2K/POLR2I/POLR2E/POLR2F/GTF2F2/NELFE/NELFA/NCBP1",8
"R-HSA-171007","p38MAPK events","8/2324","11/4190",0.727272727272727,1.31121890158035,1.1533033271426,0.199438410436087,0.47659611895964,0.395630400734854,"NRAS/RALA/MAPKAPK2/MAPK11/MAPK13/MAPK14/KRAS/SRC",8
"R-HSA-399954","Sema3A PAK dependent Axon repulsion","8/2324","11/4190",0.727272727272727,1.31121890158035,1.1533033271426,0.199438410436087,0.47659611895964,0.395630400734854,"PLXNA4/HSP90AA1/NRP1/SEMA3A/FYN/CFL1/HSP90AB1/PLXNA1",8
"R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway","8/2324","11/4190",0.727272727272727,1.31121890158035,1.1533033271426,0.199438410436087,0.47659611895964,0.395630400734854,"DAPK1/UNC5B/FADD/CD14/CASP8/MAGED1/DAPK2/UNC5A",8
