"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","45/1904","83/3379",0.542168674698795,0.962178546117242,-0.396324525712361,0.695473000936941,0.929174454693079,0.809137563416939,"ADH5/ADH7/FABP1/FOXO3/IFNA10/AKT2/IFNA21/IFNA4/MAPK10/MAPK9/AKT1/FADD/CD14/IRF3/MAP2K6/ADH1A/CASP8/ACADVL/ALDH7A1/ACOX1/IKBKG/FOXO1/GSK3B/LPIN1/IKBKB/IL6/TNFRSF1A/C3/C5/CXCL3/IL17RA/IL1B/FASLG/CXCL2/AKT3/TBK1/MAPK8/MAPK11/MAPK13/MAPK14/FAS/IFNA14/CTNNB1/ADH1B/NFKB1",45
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","23/1904","43/3379",0.534883720930233,0.949250048856752,-0.380473242660794,0.705098559641254,0.938235986619411,0.817028466816903,"HSPA1A/KLRC3/RFXAP/CD8A/HSPA1B/KIR3DL1/HSPA2/RFX5/HSP90AA1/B2M/LGMN/PDIA3/KIR2DL4/CALR/HSP90AB1/HSPA8/TAPBPL/KIR2DL2/KIR2DL5A/KIR3DL3/CTSB/CD74/CD8B",23
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","65/1904","120/3379",0.541666666666667,0.961287640056022,-0.49052977542211,0.721230052013797,0.94355433955222,0.821659759801455,"RAF1/PDGFRA/NRAS/ITGB7/ITGAL/ARAF/ARPC1B/ITGB2/PDGFC/FGFR3/PAK4/FGF19/FGF16/ARHGEF1/AKT2/CFL2/KNG1/AKT1/BRAF/PIP4K2B/MRAS/RDX/RAC2/CYRIB/PPP1CC/MYL12A/FN1/PFN1/BRK1/MYL9/ITGA6/ITGAM/CYRIA/FGF8/DIAPH1/GNG12/EGFR/C5/MAPK3/MAP2K1/C7/FGF2/FGF5/MAPK1/AKT3/MAP2K2/FGFR2/PAK6/CFL1/PDGFA/GSN/CRK/FGFR4/KRAS/VAV1/SRC/EGF/FGFR1/INSRR/ITGB6/PIK3R1/EZR/ENAH/VAV3/CRKL",65
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","11/1904","21/3379",0.523809523809524,0.929596838735494,-0.367645069793064,0.723391660323369,0.94355433955222,0.821659759801455,"SMPD1/B4GALT6/GM2A/HEXB/KDSR/HEXA/ASAH2/ASAH1/SPTLC1/GAL3ST1/B4GALNT1",11
"Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","11/1904","21/3379",0.523809523809524,0.929596838735494,-0.367645069793064,0.723391660323369,0.94355433955222,0.821659759801455,"AARS1/DARS2/VARS1/FARS2/HARS1/TARS1/YARS1/GARS1/WARS2/MARS1/WARS1",11
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","11/1904","21/3379",0.523809523809524,0.929596838735494,-0.367645069793064,0.723391660323369,0.94355433955222,0.821659759801455,"PLCB1/ATP1B1/CAMK2A/CAMK2B/CAMK2D/PRKCB/PRKCG/SST/ATP1B2/CFTR/EZR",11
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","11/1904","21/3379",0.523809523809524,0.929596838735494,-0.367645069793064,0.723391660323369,0.94355433955222,0.821659759801455,"KIR3DL1/IL6/CD80/IL1B/FASLG/IL1A/CD86/FAS/KIR2DL2/KIR2DL5A/KIR3DL3",11
"Organismal Systems","Immune system","hsa04611","Platelet activation","28/1904","53/3379",0.528301886792453,0.937569367369589,-0.520405445854301,0.746253980929476,0.969542573648532,0.844290662220253,"COL1A1/PLCB1/SYK/FERMT3/PRKG1/ARHGEF1/AKT2/AKT1/BTK/PPP1CC/MYL12A/APBB1IP/NOS3/PRKCZ/MAPK3/VWF/MAPK1/PRKCI/LYN/AKT3/FYN/MAPK11/MAPK13/MAPK14/SRC/PIK3R1/STIM1/VASP",28
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","53/1904","99/3379",0.535353535353535,0.950083821407351,-0.572650032646803,0.750963424745974,0.971835020259496,0.846286955441283,"RAF1/NCF2/NRAS/GSTT2B/FOXO3/MET/PTPN11/CBR1/ARAF/AKT2/MAPK10/MAPK9/AKT1/BRAF/HMOX1/COX5A/IKBKG/GSTA2/IKBKB/VEGFA/EGFR/HGF/SOD1/MAPK3/MAP2K1/PTPN1/MAPK1/ABL2/AKT3/MAP2K2/MAPK8/PTEN/AKR1A1/PDPK1/MAPK11/MAPK13/MAPK14/SOD2/KRAS/PPIF/GRB2/SRC/EGF/BAD/NDUFV2/ATP5PF/PTPRJ/KEAP1/PIK3R1/COX6C/ATP5PO/NDUFB8/NFKB1",53
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","5/1904","10/3379",0.5,0.88734243697479,-0.405300492492873,0.7666761872203,0.987357518791246,0.85980415511965,"POLE2/FEN1/SSBP1/RPA2/RNASEH1",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","57/1904","107/3379",0.532710280373832,0.945392876776879,-0.652081416814463,0.77418652000232,0.987357518791246,0.85980415511965,"STAT3/STAT1/ACE/SYK/IRF9/CFD/IFNA10/ISG15/IFNA21/IFNA4/MAPK10/IL6R/MAPK9/IRF3/MX1/C1S/RPL5/RPL11/RPL26L1/RPS20/IKBKG/IKBKB/IL6/IL6ST/TNFRSF1A/EGFR/C3/MMP3/C5/MAPK3/C7/MBL2/IL1B/VWF/MAPK1/NRP1/TBK1/MAPK8/TLR2/RPS7/CFB/RPS27A/PLCG1/MAPK11/MAPK13/MAPK14/TYK2/PRKCB/PRKCG/IFNAR1/IFNA14/PIK3R1/CSF3/ADAM17/MASP1/RPS4X/NFKB1",57
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","8/1904","16/3379",0.5,0.88734243697479,-0.513126205339496,0.778920350851379,0.987357518791246,0.85980415511965,"AMY2B/HK2/HK1/UGP2/AMY2A/GPI/AMY1A/PGM1",8
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","8/1904","16/3379",0.5,0.88734243697479,-0.513126205339496,0.778920350851379,0.987357518791246,0.85980415511965,"STAR/CREB3L4/PLCB1/ATF6B/SCARB1/AGT/MRAP/POMC",8
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","9/1904","18/3379",0.5,0.88734243697479,-0.544414436742878,0.783836702967858,0.987357518791246,0.85980415511965,"DGKB/AKR1B10/AKR1B1/ALDH7A1/LPL/LIPG/TKFC/LPIN1/AKR1A1",9
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","9/1904","18/3379",0.5,0.88734243697479,-0.544414436742878,0.783836702967858,0.987357518791246,0.85980415511965,"GAD1/CD80/HSPD1/IL1B/FASLG/IL1A/CD86/CPE/FAS",9
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","65/1904","122/3379",0.532786885245902,0.945528826284612,-0.696153568775215,0.785360056934637,0.987357518791246,0.85980415511965,"RAF1/BIRC2/FLNA/DYNLL2/DNM2/RHOG/ARPC1B/CYTH4/ELMO1/STX10/RAB5C/DYNLT1/RALA/AKT2/S100A10/MAPK10/MAPK9/AKT1/FADD/CD14/MAP2K6/RAB5A/DYNLRB2/CASP8/RHOB/TLR5/RAB5B/ARF1/MYL12A/KPNA1/PFN1/BRK1/MYL9/IKBKG/RILP/KLC3/PYCARD/IKBKB/DYNC1LI1/FHOD1/IL6/PIK3C3/HSP90AA1/TNFRSF1A/MAPK3/MAP2K1/CYCS/IL1B/MAPK1/AKT3/BCL2/MAP2K2/MAPK8/TLR2/SKP1/TNFRSF10A/MAPK11/MAPK13/MAPK14/HSP90AB1/HSP90B1/TNFRSF10B/CTNNB1/RIPK2/NFKB1",65
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","10/1904","20/3379",0.5,0.88734243697479,-0.574034021771677,0.788849202476015,0.987357518791246,0.85980415511965,"RAD23A/POLE2/RAD23B/CUL4B/POLR2K/RPA2/POLR2I/POLR2E/POLR2F/CCNH",10
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","11/1904","22/3379",0.5,0.88734243697479,-0.602231276739421,0.793874855991227,0.987357518791246,0.85980415511965,"DLD/CBS/GCSH/AHCYL1/SHMT2/MTHFS/BHMT2/MTHFD2/MAT2B/ALDH7A1/CTH",11
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","11/1904","22/3379",0.5,0.88734243697479,-0.602231276739421,0.793874855991227,0.987357518791246,0.85980415511965,"STX4/CREB3L4/DYNLL2/NSF/RAB5C/RAB5A/VAMP2/RAB5B/DYNC1LI1/ARHGDIA/ARHGDIB",11
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","12/1904","24/3379",0.5,0.88734243697479,-0.629197510423126,0.798861992476553,0.987357518791246,0.85980415511965,"GABBR1/ARRB1/GABBR2/GRK5/PDE1B/GNG12/GRK2/PDE2A/PDE1A/PDE3A/PRKCB/PRKCG",12
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","12/1904","24/3379",0.5,0.88734243697479,-0.629197510423126,0.798861992476553,0.987357518791246,0.85980415511965,"PLCB1/APOL1/IL10/KNG1/IL6/IL1B/FASLG/SELE/ICAM1/FAS/PRKCB/PRKCG",12
