"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05330","Allograft rejection","6/1904","14/3379",0.428571428571429,0.760579231692677,-1.01976614113545,0.900968662022991,0.99993813208004,0.870759521715633,"IL10/CD80/FASLG/IL5/CD86/FAS",6
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","22/1904","46/3379",0.478260869565217,0.848762331019364,-1.17324447702706,0.906625232823504,0.99993813208004,0.870759521715633,"TPMT/GSTT2B/RRM1/NAT1/GSTP1/GUSB/NME4/CMPK1/ITPA/HPRT1/UPP1/UPP2/GSTA2/UCK1/NME7/MPO/CYP3A4/IMPDH1/NME1/UGT2A1/RRM2B/DUT",22
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","43/1904","87/3379",0.494252873563218,0.877143098618758,-1.31885349674657,0.922976659426736,0.99993813208004,0.870759521715633,"RAF1/GRIA4/HHIP/GABBR1/CREB3L4/CNGA2/ATP1B1/HCAR2/GABBR2/AKT2/MAPK10/MAPK9/AKT1/BRAF/CAMK4/RAC2/PPP1CC/ACOX1/MYL9/BDNF/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/AKT3/CAMK2D/VIP/MAP2K2/MAPK8/PDE3A/VAV1/BAD/SST/GHRL/ATP1B2/CFTR/ADCYAP1/OXT/PIK3R1/POMC/VAV3/NFKB1",43
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","16/1904","35/3379",0.457142857142857,0.811284513805522,-1.2748988006783,0.92539700703824,0.99993813208004,0.870759521715633,"MVK/ECH1/GSTK1/NUDT12/ACOT8/PECR/ACAA1/IDH1/ACOX1/PHYH/HMGCL/SCP2/SOD1/PRDX1/SOD2/PEX14",16
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","11/1904","25/3379",0.44,0.780861344537815,-1.24932304881805,0.926159669248407,0.99993813208004,0.870759521715633,"ADH5/ADH7/ACADS/ADH1A/ACADSB/ACAA1/ACADVL/ECI1/ALDH7A1/ACOX1/ADH1B",11
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","6/1904","15/3379",0.4,0.709873949579832,-1.27929778018644,0.937801984225165,0.99993813208004,0.870759521715633,"KL/GUSB/ALDH7A1/RGN/AKR1A1/UGT2A1",6
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","6/1904","15/3379",0.4,0.709873949579832,-1.27929778018644,0.937801984225165,0.99993813208004,0.870759521715633,"CREB3L4/ATF6B/PDYN/BDNF/DLG4/NFKB1",6
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","5/1904","13/3379",0.384615384615385,0.682571105365223,-1.3026518530581,0.942926728783423,0.99993813208004,0.870759521715633,"ACE/PREP/CTSG/CMA1/AGT",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","125/1904","242/3379",0.516528925619835,0.916676071254948,-1.52822551734515,0.944387137690571,0.99993813208004,0.870759521715633,"CSF2RA/IL18RAP/TNFRSF14/BMPR1B/CSF1/EBI3/OSMR/PRL/BMP15/TNFRSF18/RELL1/IL20RB/INHBB/CSF1R/CCL1/IL10/CTF1/INHBA/IL22/IL3RA/IL17B/IL15RA/TNFSF15/TNFSF11/CCL25/IL13/CNTFR/TGFB1/RELT/IFNA10/IFNA21/IFNA4/IL6R/XCL2/BMP4/IL11RA/IL36RN/ACVR2A/BMP5/CCL7/CXCL16/CCL5/IL6/LEP/INHA/TNFRSF8/IL6ST/IL12RB1/IL13RA1/IL2RG/TNFRSF1A/TNFRSF13B/CRLF2/IL16/CCL8/EDA/CCL28/CCL23/GHR/ACVRL1/BMP7/CXCL5/CXCL3/IL1R1/IL17RA/TSLP/IL19/IL1B/FASLG/GDF9/EDA2R/CXCL2/TNFRSF1B/TNFSF8/CXCL6/TGFB3/BMP10/IL22RA1/TNFRSF4/BMP6/IL5/IL12RB2/IL7/CCL13/TGFB2/GDF15/IFNL1/IL3/TNFRSF10A/IL1A/BMPR1A/BMPR2/CCL19/IL17RB/TNFRSF19/IL27RA/CCL11/TNFSF14/FAS/TNFRSF21/TNFRSF11A/IFNL3/CXCL14/NGF/IFNGR1/IL9/LIFR/TNFSF12/THPO/IFNAR1/GDF10/IFNA14/IFNLR1/TNFRSF10B/LIF/TNFRSF11B/GH1/CD70/CSF3/IL36G/IFNGR2/IL17C/IL2RB/IL21R/ACVR2B",125
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","16/1904","36/3379",0.444444444444444,0.78874883286648,-1.44760296384158,0.94645248778221,0.99993813208004,0.870759521715633,"LRP2/CREB3L4/PLCB1/ATF6B/ATP1B1/ALB/GSR/PDIA4/SERPINA7/TPO/ASGR1/PRKCB/PRKCG/HSP90B1/ATP1B2/ASGR2",16
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","24/1904","52/3379",0.461538461538462,0.819085326438268,-1.49353824742052,0.948375011093783,0.99993813208004,0.870759521715633,"AMY2B/CLCA1/PLCB1/ATP1B1/PLA2G2E/CPB1/AMY2A/RAB3D/PLA2G12A/PLA2G5/PLA2G10/CPB2/BST1/PLA2G1B/PRKCB/PRKCG/CTRB2/CCK/ATP1B2/CFTR/AMY1A/PLA2G2C/CLCA2/CTRL",24
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","41/1904","85/3379",0.482352941176471,0.856024468610974,-1.52722716403738,0.948802065762913,0.99993813208004,0.870759521715633,"DLD/ALPI/AK2/HMBS/PTS/SHMT2/RFK/UGP2/GSS/GUSB/NME4/ALPL/AK4/HPD/PNPO/PPCS/GCLM/CMPK1/MTHFD2/PSAT1/MAT2B/NMNAT1/UROD/RDH12/COQ7/COQ6/RGN/NME7/RDH13/DHRS3/GPHN/MPI/PDXP/AKR1A1/AK1/ADSL/HAAO/NME1/UGT2A1/GGH/TDO2",41
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","4/1904","11/3379",0.363636363636364,0.645339954163484,-1.33841209159263,0.949643673943474,0.99993813208004,0.870759521715633,"PKLR/PAX4/HHEX/NEUROG3",4
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","10/1904","24/3379",0.416666666666667,0.739452030812325,-1.45517202002676,0.951205296331186,0.99993813208004,0.870759521715633,"FABP1/PLA2G2E/GOT2/SCARB1/PLA2G12A/PLA2G5/PLA2G10/CD36/PLA2G1B/PLA2G2C",10
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","24/1904","53/3379",0.452830188679245,0.803630886316791,-1.63688163730934,0.961658669229743,0.99993813208004,0.870759521715633,"RAF1/NRAS/PLCB1/MAP1LC3B/SMAD4/SPP1/AKT2/AKT1/MAP1LC3A/MRAS/CAMK4/MYL4/NOS3/GNG12/PIK3C3/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/JAG1/NOTCH3/KRAS/TFAM",24
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/1904","29/3379",0.413793103448276,0.734352361634309,-1.63211155406061,0.965171106763916,0.99993813208004,0.870759521715633,"CBR1/PTGR1/PLA2G2E/PTGES3/GGT5/PLA2G12A/PLA2G5/PLA2G10/PLA2G1B/HPGD/PLAAT2/PLA2G2C",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","34/1904","73/3379",0.465753424657534,0.826565557729941,-1.70181613921859,0.965227133792432,0.99993813208004,0.870759521715633,"IL18RAP/TNFRSF14/CSF1/IL20RB/CSF1R/CCL1/IL10/CCL25/IL6R/XCL2/CCL7/CCL5/IL6/IL6ST/IL2RG/TNFRSF1A/CCL8/CCL28/CCL23/CXCL5/CXCL3/IL19/CXCL2/TNFRSF1B/CXCL6/IL22RA1/CCL13/TNFRSF10A/CCL19/CCL11/TNFSF14/CXCL14/TNFRSF10B/IL2RB",34
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","11/1904","27/3379",0.407407407407407,0.72301976346094,-1.64151911150414,0.966410740330851,0.99993813208004,0.870759521715633,"IL10/IFNA10/IFNA21/IFNA4/CD80/FASLG/IL5/TPO/CD86/FAS/IFNA14",11
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","8/1904","21/3379",0.380952380952381,0.676070428171269,-1.69155912751679,0.971785664057977,0.99993813208004,0.870759521715633,"PRKG1/AKT2/FABP4/AKT1/AKT3/INSR/PLAAT2/PIK3R1",8
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","29/1904","64/3379",0.453125,0.804154083508403,-1.79692530973247,0.972382154698161,0.99993813208004,0.870759521715633,"CD59/ITGB2/CFD/KNG1/VSIG4/CD46/SERPINE2/C1S/ITGAM/PLAUR/C3/C5/C7/PROC/MBL2/SERPINF2/VWF/TFPI/SERPINC1/CPB2/A2M/CFB/SERPING1/CLU/F5/CD55/C4BPB/VTN/MASP1",29
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","3/1904","10/3379",0.3,0.532405462184874,-1.68223323294361,0.977826312314569,0.99993813208004,0.870759521715633,"UBL4A/GET3/BAG6",3
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","3/1904","10/3379",0.3,0.532405462184874,-1.68223323294361,0.977826312314569,0.99993813208004,0.870759521715633,"SSBP1/RPA2/TOPBP1",3
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","19/1904","45/3379",0.422222222222222,0.749311391223156,-1.92320395665389,0.980614073840835,0.99993813208004,0.870759521715633,"COL28A1/COL1A1/COL6A1/COL6A3/ATP1B1/CPB1/COL2A1/COL9A3/COL18A1/COL5A1/PGA4/CPB2/CTRB2/COL25A1/ATP1B2/COL20A1/COL15A1/SLC3A1/CTRL",19
"Organismal Systems","Digestive system","hsa04976","Bile secretion","8/1904","22/3379",0.363636363636364,0.645339954163484,-1.89589909880077,0.982477953395187,0.99993813208004,0.870759521715633,"ATP1B1/SCARB1/CYP3A4/HMGCR/ATP1B2/CFTR/UGT2A1/NR1H4",8
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","13/1904","33/3379",0.393939393939394,0.699118283677107,-1.97313628849657,0.98392545590272,0.99993813208004,0.870759521715633,"RAF1/NRAS/PLCB1/ARAF/HTR7/BRAF/GNG12/MAPK3/MAP2K1/MAPK1/KRAS/PRKCB/PRKCG",13
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","4/1904","13/3379",0.307692307692308,0.546056884292178,-1.86287338945664,0.984222299752902,0.99993813208004,0.870759521715633,"BTD/SCARB1/MMACHC/FOLH1",4
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","12/1904","31/3379",0.387096774193548,0.686974789915966,-1.98899972204256,0.984782705498108,0.99993813208004,0.870759521715633,"GSTT2B/ADH5/ADH7/ALDH3A1/ALDH3B1/GSTK1/GSTP1/ADH1A/GSTA2/CYP3A4/UGT2A1/ADH1B",12
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","7/1904","21/3379",0.333333333333333,0.59156162464986,-2.1328638134247,0.990712763475136,0.99993813208004,0.870759521715633,"SULT2B1/DHRS9/COMT/AKR1D1/HSD17B8/CYP3A4/UGT2A1",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","7/1904","21/3379",0.333333333333333,0.59156162464986,-2.1328638134247,0.990712763475136,0.99993813208004,0.870759521715633,"STAR/BMP15/SCARB1/INSR/BMP6/IGF1R/IGF1",7
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","10/1904","28/3379",0.357142857142857,0.633816026410564,-2.21033662160732,0.991747931574607,0.99993813208004,0.870759521715633,"COX5A/PPA2/ATP6V1C1/ATP6V1F/CYCS/NDUFV2/ATP5PF/COX6C/ATP5PO/NDUFB8",10
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","13/1904","35/3379",0.371428571428571,0.659168667466987,-2.30254265742733,0.993195456173997,0.99993813208004,0.870759521715633,"GSTT2B/ADH5/ADH7/ALDH3A1/CBR1/ALDH3B1/GSTK1/GSTP1/ADH1A/GSTA2/CYP3A4/UGT2A1/ADH1B",13
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","6/1904","20/3379",0.3,0.532405462184874,-2.38257570901316,0.995569189932542,0.99993813208004,0.870759521715633,"REXO2/FBL/NHP2/RPP25/CSNK2A1/NXT1",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","45/1904","102/3379",0.441176470588235,0.782949209095403,-2.52866048738556,0.995585849977996,0.99993813208004,0.870759521715633,"PGRMC2/GNRH2/UCN3/GRIA4/PRL/GABBR1/GRID2/LTB4R/UTS2R/HTR7/GABBR2/KNG1/GHRH/CALCB/PDYN/PTH/CALCR/GRIK2/CHRNB3/GRM4/CTSG/LEP/C3/C5/NR3C1/GHR/AGT/VIP/TRH/SST/UTS2B/NPS/GHRL/PRLH/CCK/PGRMC1/ADM/ADCYAP1/OXT/PATE1/GH1/PENK/POMC/NMB/NMS",45
"Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/1904","13/3379",0.230769230769231,0.409542663219134,-2.42309492585518,0.996960712596933,0.99993813208004,0.870759521715633,"VNN2/AASDHPPT/PPCS",3
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","28/1904","69/3379",0.405797101449275,0.720161977834612,-2.66799220027801,0.997276116626202,0.99993813208004,0.870759521715633,"NRAS/CREB3L4/RPS6KA1/RPS6KA6/FRS2/PRKG1/NPPB/COX5A/COA4/TSC2/SIRT6/NDUFAF5/AKT1S1/PPARG/RPS6KA3/MAPK11/MAPK13/MAPK14/KRAS/GRB2/FGFR1/NDUFV2/ATP5PF/COX6C/NDUFAF8/ATP5PO/NDUFB8/ARID1A",28
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","6/1904","21/3379",0.285714285714286,0.507052821128451,-2.57416849933261,0.997511760515505,0.99993813208004,0.870759521715633,"DLD/KYAT3/ALDH7A1/HAAO/AOC1/TDO2",6
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/1904","29/3379",0.310344827586207,0.550764271225732,-2.76005775146397,0.998427591913045,0.99993813208004,0.870759521715633,"GSTT2B/CBR1/NAT1/GSTK1/GSTP1/SULT1A1/GSTA2/CYP3A4/UGT2A1",9
"Genetic Information Processing","Translation","hsa03010","Ribosome","11/1904","36/3379",0.305555555555556,0.542264822595705,-3.13663970929072,0.999536969089072,0.99993813208004,0.870759521715633,"MRPL1/RPL5/RPL11/RPL26L1/RPS20/MRPL38/RPS7/RPS27A/MRPL58/MRPL21/RPS4X",11
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","2/1904","15/3379",0.133333333333333,0.236624649859944,-3.36606929804789,0.999921416853094,0.99993813208004,0.870759521715633,"UBE2T/RPA2",2
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","6/1904","27/3379",0.222222222222222,0.39437441643324,-3.58923070563733,0.99993813208004,0.99993813208004,0.870759521715633,"DLD/DOT1L/KMT2D/HYKK/ALDH7A1/COLGALT2",6
