"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X9838.4",491,-0.0224067574358906,-0.0187706769094419,0.678210099237206,0.00226239712645054,0.730340006941833,FALSE,FALSE,"Not significant","Negative",0.00363608052644869,"SMAD1","Mothers against decapentaplegic homolog 1","SMAD1","Q15797"
"X15581.16",490,-0.0157560894707274,-0.0187427797636934,0.678972363977831,0.000630901268027767,0.731048479813204,FALSE,FALSE,"Not significant","Negative",-0.00298669029296597,"FANK1","Fibronectin type 3 and ankyrin repeat domains protein 1","FANK1","Q8TC84"
"X17828.3",487,-0.0275799685755532,-0.018755297040774,0.679704766505498,0.00115862945035503,0.731724587270787,FALSE,FALSE,"Not significant","Negative",0.00882467153477916,"S100A14","Protein S100-A14","S100A14","Q9HCY8"
"X8664.36",491,-0.0209705277141458,-0.0186398482450117,0.680328792014213,0.00209276912748386,0.732283833444924,FALSE,FALSE,"Not significant","Negative",0.00233067946913409,"PKDCC","Extracellular tyrosine-protein kinase PKDCC","PKDCC","Q504Y2"
"X8000.17",486,0.0252874404034306,0.0187141880496364,0.680679862542612,0.00133220315892059,0.73254915303595,FALSE,FALSE,"Not significant","Positive",-0.00657325235379413,"KIR2DL5A","Killer cell immunoglobulin-like receptor 2DL5A","KI2LA","Q8N109"
"X17505.125",492,0.0270950051597286,0.0185677327341545,0.681189818422115,0.013834703112518,0.732985357610893,FALSE,FALSE,"Not significant","Positive",-0.00852727242557411,"NAALADL1","N-acetylated-alpha-linked acidic dipeptidase-like protein","NALDL","Q9UQQ1"
"X8874.53",477,0.0241711984825347,0.0188291152886512,0.681665480864991,0.000946850825698534,0.733384532861198,FALSE,FALSE,"Not significant","Positive",-0.00534208319388355,"CLN5","Ceroid-lipofuscinosis neuronal protein 5:Lumenal domain","CLN5:LD","O75503"
"X10075.75",492,-0.0196328572371432,-0.0185289406380571,0.681819464092571,0.00013172228695212,0.733437553127835,FALSE,FALSE,"Not significant","Negative",0.00110391659908612,"ACBD6","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61"
"X24718.8",486,0.0161834844763325,0.0186363604645848,0.681935204345973,4.97024283096656e-05,0.733449425217801,FALSE,FALSE,"Not significant","Positive",0.00245287598825237,"LRRC75A","Leucine-rich repeat-containing protein 75A","LR75A","Q8NAA5"
"X17153.46",466,-0.00265894045158469,-0.0190080995724756,0.682346352828786,0.0131949670823559,0.733778968616157,FALSE,FALSE,"Not significant","Negative",-0.0163491591208909,"KIR2DL3","Killer cell immunoglobulin-like receptor 2DL3","KI2L3","P43628"
"X3498.53",490,0.0102670189101951,0.0184771764398688,0.683273711883963,0.00850211647393108,0.734663446162266,FALSE,FALSE,"Not significant","Positive",0.00821015752967368,"IL17A","Interleukin-17A","IL-17","Q16552"
"X20440.36",494,0.0195983882651953,0.0183666170388191,0.683847390539928,2.38058525096684e-05,0.735167429516912,FALSE,FALSE,"Not significant","Positive",-0.00123177122637616,"TTC32","Tetratricopeptide repeat protein 32","TTC32","Q5I0X7"
"X12503.5",480,-0.0103577758506432,-0.0186002326398986,0.684387490333562,0.00307632079713082,0.735635164920454,FALSE,FALSE,"Not significant","Negative",-0.00824245678925542,"GPR68","Ovarian cancer G-protein coupled receptor 1","SPR1","Q15743"
"X5094.62",492,-0.0185443630749612,-0.0183542238857013,0.684658075226647,0.00153336952708993,0.735813104781016,FALSE,FALSE,"Not significant","Negative",0.000190139189259888,"JAML","Junctional adhesion molecule-like","JAML1","Q86YT9"
"X10512.13",491,-0.0170821537229449,-0.0183262902643953,0.685416901634361,1.73463017669531e-05,0.736515630610323,FALSE,FALSE,"Not significant","Negative",-0.00124413654145036,"CSF2RB","Cytokine receptor common subunit beta:Extracellular domain","IL3RB:ECD","P32927"
