"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X5084.154",486,0.239228406543407,0.248866722878505,2.69847267295515e-08,0.0045384184481398,8.46520424274557e-08,TRUE,TRUE,"FDR < 0.01","Positive",0.00963831633509818,"IL17RB","Interleukin-17 receptor B","IL-17B R","Q9NRM6"
"X9275.2",471,0.258078742380404,0.252596580768604,2.7319930886591e-08,0.0199645432602617,8.56652264371398e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.00548216161180054,"SIGLEC5","Sialic acid-binding Ig-like lectin 5","Siglec-5","O15389"
"X9256.78",492,0.229113220835237,0.247172299329856,2.77573263596319e-08,0.02275165680653,8.69977946976382e-08,TRUE,TRUE,"FDR < 0.01","Positive",0.0180590784946189,"NPTX1","Neuronal pentraxin-1","NPTX1","Q15818"
"X14050.61",495,0.260631433298635,0.246334211911461,2.81576443941019e-08,0.0296882005848952,8.82130138554044e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.0142972213871733,"EFNA4","Ephrin-A4","Ephrin-A4","P52798"
"X17704.74",495,0.242522083937398,0.246248135000257,2.8482064819547e-08,0.00223174365579807,8.91894787934407e-08,TRUE,TRUE,"FDR < 0.01","Positive",0.00372605106285959,"HSPH1","Heat shock protein 105 kDa","HS105","Q92598"
"X24409.2",492,0.255642669344686,0.246890732005837,2.88142736213958e-08,0.0107187376385391,9.01894489356022e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.00875193733884899,"RDH13","Retinol dehydrogenase 13","RDH13","Q8NBN7"
"X8468.19",481,-0.252121509881908,-0.249365745279423,2.98039689479502e-08,0.000219544607778373,9.32455571596209e-08,TRUE,TRUE,"FDR < 0.01","Negative",0.00275576460248567,"KLK3","Prostate-specific antigen","PSA","P07288"
"X9918.23",486,-0.249420030840758,-0.248042224997707,3.00862147091151e-08,0.00500972796382431,9.4086577695246e-08,TRUE,TRUE,"FDR < 0.01","Negative",0.00137780584305094,"CALB1","Calbindin","Calbindin D28","P05937"
"X9841.197",490,-0.256125902210534,-0.246923010094281,3.06131431120162e-08,0.00565036223228765,9.56916856312688e-08,TRUE,TRUE,"FDR < 0.01","Negative",0.00920289211625222,"PAICS","Multifunctional protein ADE2","Multifunctional protein ADE2","P22234"
"X14711.27",493,0.257243726333488,0.246156369883414,3.07505736581531e-08,0.089467909392574,9.60783980710806e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.0110873564500743,"CST6","Cystatin-M","Cystatin M","Q15828"
