"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X9169.14",495,0.797715570650597,0.7963972360407,9.52846311593703e-110,0.0105238399054636,2.66987536508556e-107,TRUE,TRUE,"FDR < 0.01","Positive",-0.00131833460989728,"SUMO3","Small ubiquitin-related modifier 3","SUMO3","P55854"
"X17775.8",495,0.793074077018778,0.793618139076543,1.8456239807369e-108,0.00760070757909917,4.97253691733152e-106,TRUE,TRUE,"FDR < 0.01","Positive",0.000544062057765249,"TAGLN3","Transgelin-3","TAGL3","Q9UI15"
"X19392.6",495,0.792143732365316,0.791852474068094,1.18481480194502e-107,0.00546685827158953,3.0739361806018e-105,TRUE,TRUE,"FDR < 0.01","Positive",-0.000291258297222541,"DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","DDAH1","O94760"
"X4276.10",493,0.790849869244503,0.79059273794814,1.18001985749632e-106,0.0624103220638667,2.85035831095232e-104,TRUE,TRUE,"FDR < 0.01","Positive",-0.000257131296363067,"PEBP1","Phosphatidylethanolamine-binding protein 1","prostatic binding protein","P30086"
"X14066.49",495,0.783458654241573,0.784801093077833,1.66708532636043e-104,0.00230991941751677,3.8926442370516e-102,TRUE,TRUE,"FDR < 0.01","Positive",0.00134243883626017,"MAGI2","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2","MAGI2","Q86UL8"
"X19196.73",492,0.786185908203428,0.785117923846271,5.11184838333477e-104,0.003068698224169,1.15511283629871e-101,TRUE,TRUE,"FDR < 0.01","Positive",-0.00106798435715627,"HOPX","Homeodomain-only protein","HOP","Q9BPY8"
"X8748.45",493,-0.492644179883196,-0.483550901966793,2.96418005185367e-30,0.0279018561626277,3.98542826549615e-29,TRUE,TRUE,"FDR < 0.01","Negative",0.00909327791640274,"CD74","HLA class II histocompatibility antigen gamma chain","HG2A","P04233"
"X19202.10",495,-0.479128780257312,-0.473043097646912,5.75538431502414e-29,0.0245293791962024,7.04833341376645e-28,TRUE,TRUE,"FDR < 0.01","Negative",0.00608568261040016,"BTK","Tyrosine-protein kinase BTK","BTK","Q06187"
"X19241.31",493,-0.472582781786306,-0.468196901380861,3.16264055359831e-28,0.00253411697105053,3.70473195283548e-27,TRUE,TRUE,"FDR < 0.01","Negative",0.00438588040544557,"RBP5","Retinol-binding protein 5","RBP-III","P82980"
"X11232.46",493,-0.431082770242508,-0.42641813203643,3.3515135601012e-23,0.0113844235106785,3.10546990588742e-22,TRUE,TRUE,"FDR < 0.01","Negative",0.00466463820607765,"TCN1","Transcobalamin-1","Holo-TC I","P20061"
"X18297.8",495,-0.426710316493918,-0.421146782433849,1.06048727119095e-22,0.030058437570509,9.6351664522602e-22,TRUE,TRUE,"FDR < 0.01","Negative",0.00556353406006865,"MRAS","Ras-related protein M-Ras","RASM","O14807"
"X3477.63",494,-0.429489966495587,-0.420823537872753,1.27057604752399e-22,0.0277335795222388,1.14695685733319e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.0086664286228334,"NTRK1","High affinity nerve growth factor receptor","TrkA","P04629"
"X7012.35",492,-0.428816702749818,-0.420882570078763,1.52416833002406e-22,0.0114294084835005,1.3688204040793e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.0079341326710553,"VNN2","Vascular non-inflammatory molecule 2","VNN2","O95498"
"X25298.53",489,-0.425800904043278,-0.421377650160327,1.80822054325898e-22,0.0202448694016944,1.61769922165123e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.00442325388295106,"KDM4C","Lysine-specific demethylase 4C","KDM4C","Q9H3R0"
"X13711.10",494,-0.424643858416242,-0.417905602192332,2.6559507303423e-22,0.0212701402113834,2.34614563254071e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.00673825622390989,"CLTC","Clathrin heavy chain 1","CLH1","Q00610"
"X11177.16",490,-0.420257734518773,-0.416486311641346,5.57260543299381e-22,0.0101904692933349,4.82522880817325e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.00377142287742721,"KRT5","Keratin, type II cytoskeletal 5","K2C5","P13647"
"X20401.19",495,-0.419980059629569,-0.412997030173347,8.21928511399984e-22,0.0326529548086092,7.02147466141084e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.00698302945622181,"BUD31","Protein BUD31 homolog","BUD31","P41223"
"X12940.35",495,-0.420246871540872,-0.412485773192572,9.32861510197118e-22,0.0149837020274841,7.94975046098639e-21,TRUE,TRUE,"FDR < 0.01","Negative",0.0077610983483003,"ALDH3B1","Aldehyde dehydrogenase family 3 member B1","AL3B1","P43353"
