"Variable","Category","Uni_Effect","Uni_P","Uni_FDR","Uni_N","Multi_Effect","Multi_P","Uni_Sig"
"DHA (n-3 PUFA)","Nutrition","-0.0742","4.32e-01","7.56e-01",166,"0.2363","1.92e-01",""
"EPA (n-3 PUFA)","Nutrition","-0.1878","4.92e-02","3.44e-01",157,"-0.4047","2.78e-02",""
"Homocysteine","Nutrition","0.0950","3.15e-01","7.35e-01",167,"0.1778","8.91e-02",""
"NPI Sleep Domain","Neuropsychiatric","0.0275","7.67e-01","9.39e-01",1076,"-1.1936","1.50e-02",""
"NPI Total Score","Neuropsychiatric","0.0424","2.41e-01","7.35e-01",1075,"0.4284","3.07e-02",""
"Alcohol Abuse History","Substance Use","0.0283","9.47e-01","9.47e-01",172,"0.7800","1.18e-01",""
"Smoking Status","Substance Use","-0.0461","8.05e-01","9.39e-01",172,"-0.1770","4.01e-01",""
