"protein_id","n","spearman_rho","p_value","fdr","significant_fdr05","significant_fdr01","direction","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X8357.43",494,-0.26971407076603,1.10966081306176e-09,3.82059967597382e-09,TRUE,TRUE,"Negative","SULT4A1","Sulfotransferase 4A1","ST4A1","Q9BR01"
"X21939.6",490,-0.270730565797326,1.11719604240614e-09,3.84379090228635e-09,TRUE,TRUE,"Negative","NAE1|UBA3","ULA1/UBA3","ULA1/ UBA3","Q13564|Q8TBC4"
"X9025.5",489,0.270934984125968,1.1275489797129e-09,3.87750643244421e-09,TRUE,TRUE,"Positive","AHSP","Alpha-hemoglobin-stabilizing protein","AHSP","Q9NZD4"
"X21949.4",494,-0.269572835855923,1.13287447292733e-09,3.89390857843766e-09,TRUE,TRUE,"Negative","APBB1IP","Amyloid beta A4 precursor protein-binding family B member 1-interacting protein","AB1IP","Q7Z5R6"
"X7768.10",495,0.269106262007899,1.16709039653178e-09,4.00954792923254e-09,TRUE,TRUE,"Positive","CPM","Carboxypeptidase M","CBPM","P14384"
"X9255.5",493,0.269393262139272,1.2088925773239e-09,4.15112377654603e-09,TRUE,TRUE,"Positive","IL17C","Interleukin-17C","IL-17C","Q9P0M4"
"X24432.3",494,-0.269104322200529,1.21331004065598e-09,4.16425126643564e-09,TRUE,TRUE,"Negative","GRIPAP1","GRIP1-associated protein 1","GRAP1","Q4V328"
"X20539.4",490,-0.269932060919964,1.25517376966715e-09,4.30582382787384e-09,TRUE,TRUE,"Negative","DEFA3","Neutrophil defensin 3","HNP-3","P59666"
"X11368.32",495,0.268513520489409,1.27287644329364e-09,4.36227959162032e-09,TRUE,TRUE,"Positive","AK2","Adenylate kinase 2, mitochondrial","KAD2","P54819"
"X21861.8",494,0.268778870515881,1.272423225009e-09,4.36227959162032e-09,TRUE,TRUE,"Positive","PSMB10","Proteasome subunit beta type-10","PSB10","P40306"
"X17398.55",494,0.268771767485078,1.2737440909152e-09,4.36311851191244e-09,TRUE,TRUE,"Positive","HMOX1","Heme oxygenase 1","HO-1","P09601"
"X11215.6",473,-0.274129896513685,1.33873868677307e-09,4.58351148623919e-09,TRUE,TRUE,"Negative","CDH15","Cadherin-15:Cytoplasmic domain","CAD15:CD","P55291"
"X9117.4",489,0.269666814493661,1.35608216453575e-09,4.64062313755396e-09,TRUE,TRUE,"Positive","IL36G","Interleukin-36 gamma","IL-1F9","Q9NZH8"
"X19797.4",494,0.268240438957404,1.37641923544489e-09,4.70791833217357e-09,TRUE,TRUE,"Positive","KAT2A","Histone acetyltransferase KAT2A","GCNL2","Q92830"
"X18382.109",493,0.268330109842302,1.41163005327586e-09,4.8259973270851e-09,TRUE,TRUE,"Positive","COMT","Catechol O-methyltransferase","Catechol O-methyltransferase","P21964"
"X14685.17",491,0.26877658524964,1.42852888276487e-09,4.88138771891119e-09,TRUE,TRUE,"Positive","AKT2","RAC-beta serine/threonine-protein kinase","PKB beta","P31751"
"X9482.110",493,0.268175549934034,1.44372745680301e-09,4.93091703310827e-09,TRUE,TRUE,"Positive","NUDT9","ADP-ribose pyrophosphatase, mitochondrial","NUDT9","Q9BW91"
"X23402.147",478,0.272070537578273,1.47379743194545e-09,5.03116520993074e-09,TRUE,TRUE,"Positive","GDAP1L1","Ganglioside-induced differentiation-associated protein 1-like 1","GD1L1","Q96MZ0"
"X13013.41",490,0.268503655461385,1.54440643486445e-09,5.26963812772794e-09,TRUE,TRUE,"Positive","PRKN","E3 ubiquitin-protein ligase parkin","PRKN2","O60260"
"X3485.28",494,-0.267418908998884,1.55118475592239e-09,5.29018949135169e-09,TRUE,TRUE,"Negative","B2M","Beta-2-microglobulin","b2-Microglobulin","P61769"
"X4328.2",493,0.267584043421093,1.57324456274069e-09,5.36281175766353e-09,TRUE,TRUE,"Positive","BOC","Brother of CDO","BOC","Q9BWV1"
"X6431.68",491,0.268083699401192,1.57950047441559e-09,5.38151791015623e-09,TRUE,TRUE,"Positive","PCYOX1","Prenylcysteine oxidase 1","PCYOX","Q9UHG3"
"X8840.61",489,0.268560650949789,1.59168723052161e-09,5.4204030383101e-09,TRUE,TRUE,"Positive","C1S","Complement C1s subcomponent","C1s","P09871"
"X2968.61",494,0.267076343731399,1.63026585438659e-09,5.5490827550914e-09,TRUE,TRUE,"Positive","TNFSF15","Tumor necrosis factor ligand superfamily member 15","TNFSF15","O95150"
"X5634.39",489,0.268269411869495,1.66005522035084e-09,5.64773522028056e-09,TRUE,TRUE,"Positive","POFUT1","GDP-fucose protein O-fucosyltransferase 1","OFUT1","Q9H488"
"X17366.6",494,0.266847891262171,1.68516655116132e-09,5.73038431596363e-09,TRUE,TRUE,"Positive","DCUN1D1","DCN1-like protein 1","DCNL1","Q96GG9"
"X9384.17",490,-0.267858353662898,1.69540416559388e-09,5.7623998932485e-09,TRUE,TRUE,"Negative","CAMP","Cathelicidin antimicrobial peptide","Cathelicidin peptide","P49913"
"X17728.61",494,0.266612957519959,1.74349682632506e-09,5.92298509622067e-09,TRUE,TRUE,"Positive","CHMP2A","Charged multivesicular body protein 2a","CHM2A","O43633"
"X15693.9",490,0.267429458383865,1.80359693650513e-09,6.12121925398181e-09,TRUE,TRUE,"Positive","PGR","Progesterone receptor","PgR","P06401"
"X3607.71",491,0.267166694689054,1.8033165857856e-09,6.12121925398181e-09,TRUE,TRUE,"Positive","DKK3","Dickkopf-related protein 3","DKK3","Q9UBP4"
"X25456.73",493,0.266440048220892,1.85651819461659e-09,6.29777721708921e-09,TRUE,TRUE,"Positive","PSMC5","26S protease regulatory subunit 8","PRS8","P62195"
"X6409.57",476,0.271000302943839,1.8574541471633e-09,6.29790237215825e-09,TRUE,TRUE,"Positive","ADGRF5","Adhesion G protein-coupled receptor F5","GP116","Q8IZF2"
"X16300.4",494,0.266044658889347,1.89282401026788e-09,6.41472287949999e-09,TRUE,TRUE,"Positive","TREM2","Triggering receptor expressed on myeloid cells 2","TREM2","Q9NZC2"
"X19640.2",487,0.267860390587319,1.90073859988758e-09,6.43843031538322e-09,TRUE,TRUE,"Positive","PTH","Parathyroid Hormone1-34","Parathyroid Hormone1-34","P01270"
"X12521.3",492,-0.266136142973512,2.01426570283727e-09,6.81968644194059e-09,TRUE,TRUE,"Negative","CDKN2C","Cyclin-dependent kinase 4 inhibitor C","CDN2C","P42773"
"X16854.17",495,-0.26530366309285,2.02885213688017e-09,6.86575324581913e-09,TRUE,TRUE,"Negative","LSM4","U6 snRNA-associated Sm-like protein LSm4","LSM4","Q9Y4Z0"
"X7245.2",491,-0.266281558533136,2.04841437712736e-09,6.92860584827483e-09,TRUE,TRUE,"Negative","CELF2","CUGBP Elav-like family member 2","CELF2","O95319"
"X9116.28",494,0.265220236019556,2.13174279574551e-09,7.20697793638866e-09,TRUE,TRUE,"Positive","HEPACAM2","HEPACAM family member 2:Isoform 1, Cytoplasmic domain","HECA2:CD","A8MVW5"
"X11307.33",494,0.26511041569633,2.16570020811408e-09,7.31824889427839e-09,TRUE,TRUE,"Positive","WWP1","NEDD4-like E3 ubiquitin-protein ligase WWP1","WWP1","Q9H0M0"
"X3296.92",494,0.265076998054487,2.1761370771593e-09,7.34997117912291e-09,TRUE,TRUE,"Positive","CNTN2","Contactin-2","CNTN2","Q02246"
"X24701.21",488,0.26660699418622,2.18975899568131e-09,7.39241530831208e-09,TRUE,TRUE,"Positive","DTNA","Dystrobrevin alpha","DTNA","Q9Y4J8"
"X17812.2",492,0.265364184477919,2.25054487766919e-09,7.59396284589244e-09,TRUE,TRUE,"Positive","PTP4A1","Protein tyrosine phosphatase type IVA 1","TP4A1","Q93096"
"X7203.125",493,0.264928921405563,2.30758199122304e-09,7.78267301324862e-09,TRUE,TRUE,"Positive","RFNG","Beta-1,3-N-acetylglucosaminyltransferase radical fringe","RFNG","Q9Y644"
"X5947.90",460,0.273898530400807,2.32805200482331e-09,7.84793276890631e-09,TRUE,TRUE,"Positive","THPO","Thrombopoietin","Tpo","P40225"
"X17513.11",494,-0.264519222837051,2.35772371851811e-09,7.94413402992753e-09,TRUE,TRUE,"Negative","ANXA11","Annexin A11","ANX11","P50995"
"X12001.7",492,0.264870981713083,2.41536838624091e-09,8.1344497815469e-09,TRUE,TRUE,"Positive","TJP1","Tight junction protein ZO-1","ZO1","Q07157"
"X4542.24",491,0.265090205166621,2.42991732266868e-09,8.17951506261129e-09,TRUE,TRUE,"Positive","CLU","Clusterin","Clusterin","P10909"
"X8921.139",490,-0.265240407636332,2.46901532969198e-09,8.3071337101308e-09,TRUE,TRUE,"Negative","PABPN1","Polyadenylate-binding protein 2","PABP2","Q86U42"
"X6633.43",495,-0.263829366453228,2.50809748412354e-09,8.43457651285903e-09,TRUE,TRUE,"Negative","None","Uroplakin-3b-like protein","UPK3L","B0FP48"
"X13545.97",493,0.264257139222825,2.54073484733519e-09,8.5402339758076e-09,TRUE,TRUE,"Positive","EIF1AD","Probable RNA-binding protein EIF1AD","EIF1A","Q8N9N8"
"X5231.79",494,0.263926501612983,2.56679979145098e-09,8.62370865185328e-09,TRUE,TRUE,"Positive","PCSK9","Proprotein convertase subtilisin/kexin type 9","PCSK9","Q8NBP7"
"X11406.82",488,0.265301487914414,2.63803259772326e-09,8.85878156617999e-09,TRUE,TRUE,"Positive","ACAD8","Isobutyryl-CoA dehydrogenase, mitochondrial","ACAD8","Q9UKU7"
"X13958.5",495,0.26341681133766,2.66081265141059e-09,8.93099790279406e-09,TRUE,TRUE,"Positive","RBM46","Probable RNA-binding protein 46","RBM46","Q8TBY0"
"X24973.11",494,-0.263655587702798,2.66825365874473e-09,8.95168432926571e-09,TRUE,TRUE,"Negative","MICALL1","MICAL-like protein 1","MILK1","Q8N3F8"
"X11573.3",494,-0.263364106517644,2.78175660228205e-09,9.32800622258771e-09,TRUE,TRUE,"Negative","SRSF6","Serine/arginine-rich splicing factor 6","SRSF6","Q13247"
"X5691.2",494,-0.263321132915563,2.79888212421615e-09,9.38094223929862e-09,TRUE,TRUE,"Negative","CRISPLD2","Cysteine-rich secretory protein LCCL domain-containing 2","CRLD2","Q9H0B8"
"X21433.3",483,0.26603660922903,2.86829042770915e-09,9.60897869254071e-09,TRUE,TRUE,"Positive","BTN3A2","Butyrophilin subfamily 3 member A2","BT3A2","P78410"
"X11401.181",494,0.263087461765824,2.89380954243258e-09,9.68983548983757e-09,TRUE,TRUE,"Positive","RNF146","E3 ubiquitin-protein ligase RNF146","RN146","Q9NTX7"
"X18182.24",495,-0.262822640045527,2.89672448829009e-09,9.69496179668995e-09,TRUE,TRUE,"Negative","PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]","PCKGC","P35558"
"X21819.9",482,-0.266219725981471,2.90252543497662e-09,9.70973766571693e-09,TRUE,TRUE,"Negative","NELFE","Negative elongation factor E","NELFE","P18615"
"X9514.46",495,0.262763318849877,2.9213628808509e-09,9.76808925076878e-09,TRUE,TRUE,"Positive","EFCAB14","EF-hand calcium-binding domain-containing protein 14:C-term","K0494:C-term","O75071"
"X12734.112",491,-0.263641821039465,2.98727666885676e-09,9.98371806552556e-09,TRUE,TRUE,"Negative","KIF22","Kinesin-like protein KIF22","KIF22","Q14807"
"X17808.37",490,0.263840564312929,3.01364295505056e-09,1.00670333333949e-08,TRUE,TRUE,"Positive","NIT2","Omega-amidase NIT2","NIT2","Q9NQR4"
"X6962.5",490,0.263807261425057,3.02792533286614e-09,1.01099222863333e-08,TRUE,TRUE,"Positive","HLA-DRB3","HLA class II histocompatibility antigen, DR beta 3 chain","DRB3","P79483"
"X23389.28",491,0.263398865824124,3.09219160846316e-09,1.03195818090921e-08,TRUE,TRUE,"Positive","FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A","FAH2A","Q96GK7"
"X6512.68",495,0.26230866988379,3.11707033652921e-09,1.03976560511367e-08,TRUE,TRUE,"Positive","KREMEN1","Kremen protein 1","KREM1","Q96MU8"
"X16288.17",488,0.264076747597893,3.13879658276735e-09,1.04651451986127e-08,TRUE,TRUE,"Positive","EPHA4","Ephrin type-A receptor 4","EPHA4","P54764"
"X19274.80",489,0.263728713031361,3.17734768593362e-09,1.05886396479377e-08,TRUE,TRUE,"Positive","SNTA1","Alpha-1-syntrophin","Alpha-1-syntrophin","Q13424"
"X12627.97",492,-0.262792310417403,3.24836957581798e-09,1.08201754058987e-08,TRUE,TRUE,"Negative","ATG7","Ubiquitin-like modifier-activating enzyme ATG7","ATG7","O95352"
